flow_id,src2dst_min_length,src2dst_max_length,src2dst_stddev_length,src2dst_mean_length,src2dst_min_time,src2dst_max_time,src2dst_mean_time,src2dst_stddev_time,dst2src_min_length,dst2src_max_length,dst2src_stddev_length,dst2src_mean_length,dst2src_min_time,dst2src_max_time,dst2src_mean_time,dst2src_stddev_time,bidirectional_min_length,bidirectional_max_length,bidirectional_stddev_length,bidirectional_mean_length,bidirectional_min_time,bidirectional_max_time,bidirectional_mean_time,bidirectional_stddev_time,label,browser,doh_server
"(('1.1.1.1', 443), ('192.168.20.191', 53740))",0,0,0.0,0.0,0,0,0.0,0.0,26,37600,570.449210367424,156.53088042049933,0.0,0,0.22824469161059743,1.5062376434685816,26,37600,570.449210367424,156.53088042049933,0.0,47.61101794242859,0.22824469161059743,1.5062376434685816,Benign,chrome,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.191', 53751))",0,0,0.0,0.0,0,0,0.0,0.0,19,10330,2130.0316724452323,584.7272727272727,0.0,0,36.05070133436294,102.01438535356955,19,10330,2130.0316724452323,584.7272727272727,0.0,399.9977560043335,36.05070133436294,102.01438535356955,Benign,chrome,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.191', 56546))",0,0,0.0,0.0,0,0,0.0,0.0,26,40021,15923.52470277859,8175.2,9.5367431640625e-07,0,0.008331000804901123,0.008577663291305732,26,40021,15923.52470277859,8175.2,9.5367431640625e-07,0.021389007568359375,0.008331000804901123,0.008577663291305732,Benign,chrome,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.191', 56547))",0,0,0.0,0.0,0,0,0.0,0.0,122,26376,12300.8292674383,8981.0,8.392333984375e-05,0,0.009793996810913086,0.009710073471069336,122,26376,12300.8292674383,8981.0,8.392333984375e-05,0.019504070281982422,0.009793996810913086,0.009710073471069336,Benign,chrome,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.191', 56682))",0,0,0.0,0.0,0,0,0.0,0.0,26,7701,192.13268407670688,152.0897140979297,0.0,0,0.18935756178610738,0.8743645194686106,26,7701,192.13268407670688,152.0897140979297,0.0,26.193096160888672,0.18935756178610738,0.8743645194686106,Benign,chrome,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.191', 58759))",0,0,0.0,0.0,0,0,0.0,0.0,26,51589,657.73312896642,155.5585673744985,0.0,0,0.5224452486801671,5.770001760272276,26,51589,657.73312896642,155.5585673744985,0.0,293.36580514907837,0.5224452486801671,5.770001760272276,Benign,chrome,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.191', 50281))",0,0,0.0,0.0,0,0,0.0,0.0,26,62773,23321.70080752164,10625.333333333334,0.0,0,0.010353994369506837,0.01944642416573291,26,62773,23321.70080752164,10625.333333333334,0.0,0.04920005798339844,0.010353994369506837,0.01944642416573291,Benign,chrome,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.191', 50284))",0,0,0.0,0.0,0,0,0.0,0.0,26,2991,943.3446811743839,527.25,0.0,0,0.2796571595328195,0.6728253439331118,26,2991,943.3446811743839,527.25,0.0,1.927574872970581,0.2796571595328195,0.6728253439331118,Benign,chrome,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.191', 50299))",0,0,0.0,0.0,0,0,0.0,0.0,19,37607,1515.829784177226,198.37459283387622,0.0,0,0.7828484861146762,16.146302583011252,19,37607,1515.829784177226,198.37459283387622,0.0,399.9983251094818,0.7828484861146762,16.146302583011252,Benign,chrome,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.191', 50312))",0,0,0.0,0.0,0,0,0.0,0.0,19,22957,5696.1747960071125,1649.6,9.5367431640625e-07,0,53.93769192695618,131.75863961396828,19,22957,5696.1747960071125,1649.6,9.5367431640625e-07,399.9974148273468,53.93769192695618,131.75863961396828,Benign,chrome,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.191', 50739))",0,0,0.0,0.0,0,0,0.0,0.0,26,15904,356.4373859767462,155.99209833187007,0.0,0,0.3090410728856666,6.007688974265828,26,15904,356.4373859767462,155.99209833187007,0.0,284.2019340991974,0.3090410728856666,6.007688974265828,Benign,chrome,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.191', 50742))",0,0,0.0,0.0,0,0,0.0,0.0,19,33924,8182.982394885132,2235.5,9.5367431640625e-07,0,50.34174346923828,123.6697551711135,19,33924,8182.982394885132,2235.5,9.5367431640625e-07,399.9987208843231,50.34174346923828,123.6697551711135,Benign,chrome,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.191', 52464))",0,0,0.0,0.0,0,0,0.0,0.0,26,473,198.3519599096515,272.0,9.5367431640625e-07,0,0.01050098737080892,0.013562100934539379,26,473,198.3519599096515,272.0,9.5367431640625e-07,0.02965092658996582,0.01050098737080892,0.013562100934539379,Benign,chrome,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.191', 52485))",0,0,0.0,0.0,0,0,0.0,0.0,26,12527,390.47701281737113,156.95313881520778,0.0,0,0.1890922955707111,0.8590784713202101,26,12527,390.47701281737113,156.95313881520778,0.0,15.998674869537354,0.1890922955707111,0.8590784713202101,Benign,chrome,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.191', 52488))",0,0,0.0,0.0,0,0,0.0,0.0,26,9307,2635.9980028585715,983.2727272727273,0.0,0,1.6793699979782104,3.451186152115652,26,9307,2635.9980028585715,983.2727272727273,0.0,10.23807692527771,1.6793699979782104,3.451186152115652,Benign,chrome,Cloudflare
