flow_id,src2dst_min_length,src2dst_max_length,src2dst_stddev_length,src2dst_mean_length,src2dst_min_time,src2dst_max_time,src2dst_mean_time,src2dst_stddev_time,dst2src_min_length,dst2src_max_length,dst2src_stddev_length,dst2src_mean_length,dst2src_min_time,dst2src_max_time,dst2src_mean_time,dst2src_stddev_time,bidirectional_min_length,bidirectional_max_length,bidirectional_stddev_length,bidirectional_mean_length,bidirectional_min_time,bidirectional_max_time,bidirectional_mean_time,bidirectional_stddev_time,label,browser,doh_server
"(('192.168.20.191', 49303), ('8.8.4.4', 443))",1,512,63.058151645040226,85.61333333333333,2.288818359375e-05,6.5165698528289795,0.3855551265230115,1.0510304527349186,26,63701,4461.89286455009,498.4975369458128,0.0,6.5165698528289795,0.4938802719116211,3.099947939332453,1,63701,3390.0055734125485,323.05099150141643,0.0,42.366332054138184,0.28356263041496277,2.3554945262054248,Benign,chrome,Google
"(('192.168.20.191', 49311), ('8.8.4.4', 443))",0,512,118.6825832022355,78.66666666666667,4.100799560546875e-05,45.03319501876831,13.431733762516695,20.40537963688048,26,58200,14449.282436047357,4981.166666666667,0.0,45.03319501876831,14.304220466052785,56.43114614194184,0,58200,10507.452155428124,2529.9166666666665,0.0,45.03319501876831,6.94921111379351,15.745061114048678,Benign,chrome,Google
"(('192.168.20.191', 49391), ('8.8.4.4', 443))",1,567,283.0,284.0,0.05374002456665039,0.05374002456665039,0.05374002456665039,0.0,128,497,184.5,312.5,0.027391910552978516,0.05374002456665039,0.027391910552978516,0.0,1,567,239.30668085116218,298.25,0.0021779537200927734,0.05156207084655762,0.02631799379984538,0.02017609029368524,Benign,chrome,Google
"(('192.168.20.191', 49389), ('8.8.4.4', 443))",0,567,52.88930935696228,87.51162790697674,1.5974044799804688e-05,45.02929401397705,0.17301395733279312,1.1040152715255618,26,59433,618.001657931362,178.52875347165497,0.0,45.02929401397705,0.12882993907069917,0.978858198168997,0,59433,471.31025266517776,139.68091581608766,0.0,45.02929401397705,0.07384151056497493,0.7261650149074533,Benign,chrome,Google
"(('192.168.20.191', 49388), ('8.8.4.4', 443))",1,512,255.5,256.5,0.05221891403198242,0.05221891403198242,0.05221891403198242,0.0,122,9148,4183.24941731903,4475.25,9.5367431640625e-07,0.05221891403198242,0.009076356887817383,0.012777281451294102,1,9148,3955.1513245386705,3069.0,9.5367431640625e-07,0.05098700523376465,0.015643215179443358,0.020264762572831888,Benign,chrome,Google
"(('192.168.20.191', 49393), ('8.8.4.4', 443))",1,512,255.5,256.5,0.05146193504333496,0.05146193504333496,0.05146193504333496,0.0,122,41859,17217.010678032933,12458.25,0.0,0.05146193504333496,0.008826335271199545,0.012481648703078442,1,41859,15189.594343936027,8391.0,0.0,0.050520896911621094,0.015399980545043945,0.02009793807251635,Benign,chrome,Google
"(('192.168.20.191', 49392), ('8.8.4.4', 443))",1,512,255.5,256.5,0.05353903770446777,0.05353903770446777,0.05353903770446777,0.0,122,54901,24112.268334812466,23819.5,0.0,0.05353903770446777,0.009071667989095053,0.012828432975785219,1,54901,22605.394351914227,15965.166666666666,0.0,0.051950931549072266,0.015833187103271484,0.020516853602364372,Benign,chrome,Google
"(('192.168.20.191', 49390), ('8.8.4.4', 443))",1,512,255.5,256.5,0.052085161209106445,0.052085161209106445,0.052085161209106445,0.0,122,43335,18364.95181725234,17745.5,9.5367431640625e-07,0.052085161209106445,0.009043614069620768,0.012747981809089043,1,43335,17112.55164508074,11915.833333333334,9.5367431640625e-07,0.050649166107177734,0.015556001663208007,0.020087394226596614,Benign,chrome,Google
"(('192.168.20.191', 49691), ('8.8.4.4', 443))",0,567,154.8200344127192,82.08333333333333,3.4809112548828125e-05,45.03371500968933,20.475678183815695,22.414316328905354,26,497,198.4557570341561,201.75,0.0,45.03371500968933,34.291030985968455,83.98098492094057,0,567,183.22731101012204,129.95,0.0,45.03371500968933,12.636146583055195,19.634936247847826,Benign,chrome,Google
"(('192.168.20.191', 54188), ('8.8.4.4', 443))",0,512,52.74524197168755,86.88708671241422,1.5974044799804688e-05,45.03490591049194,0.18954211426673692,1.4441488053074498,26,22152,276.08708043931153,171.87279572784203,0.0,45.03490591049194,0.13834180436376897,1.4787834488567413,0,22152,216.28414827127753,135.7569203578924,0.0,45.03490591049194,0.08054618610641315,0.9459535110562939,Benign,chrome,Google
