flow_id,src2dst_min_length,src2dst_max_length,src2dst_stddev_length,src2dst_mean_length,src2dst_min_time,src2dst_max_time,src2dst_mean_time,src2dst_stddev_time,dst2src_min_length,dst2src_max_length,dst2src_stddev_length,dst2src_mean_length,dst2src_min_time,dst2src_max_time,dst2src_mean_time,dst2src_stddev_time,bidirectional_min_length,bidirectional_max_length,bidirectional_stddev_length,bidirectional_mean_length,bidirectional_min_time,bidirectional_max_time,bidirectional_mean_time,bidirectional_stddev_time,label,type,doh_server
"(('176.103.130.130', 443), ('192.168.20.208', 38932))",1,53480,2629.876775526312,230.57907542579076,1.7881393432617188e-05,8.029216051101685,1.5304371194141666,2.1940767284690077,66,35538,1597.4922169799324,277.22651933701655,1.9073486328125e-06,8.029216051101685,1.1576574517352114,1.8088072626156382,1,53480,2105.402464770336,257.1299790356394,1.9073486328125e-06,7.092025995254517,0.6584252035255072,1.4766647182315338,Malicious,dns2tcp_tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.208', 43806))",1,280,17.70220343105267,99.36330935251799,1.1920928955078125e-05,6.384149074554443,1.1261593694085474,1.9184273459249048,66,63567,2454.235292274638,327.12326869806094,4.0531158447265625e-06,6.384149074554443,0.8668386602203327,1.5759485565602014,1,63567,1848.1624142379355,228.03521126760563,4.0531158447265625e-06,6.101840019226074,0.48944279563174925,1.2594535592172742,Malicious,dns2tcp_tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.208', 49168))",1,280,19.192892641272483,100.24130879345603,1.7881393432617188e-05,6.117042064666748,1.2866027149997774,2.0352833132915524,66,12926,521.6875528452048,206.36288998357963,1.9073486328125e-06,6.117042064666748,1.0326224651775862,1.6952282448945382,1,12926,392.2968790705528,159.10109289617486,1.9073486328125e-06,6.116513967514038,0.5723446899907851,1.3618691497658446,Malicious,dns2tcp_tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.208', 54366))",1,280,18.893052007839486,100.23513513513514,1.7881393432617188e-05,8.00177001953125,1.702639959691986,2.210100484312466,66,49280,2975.8841262841142,374.03203661327234,9.5367431640625e-07,8.00177001953125,1.4409300231058664,1.9143989674407924,1,49280,2194.1609698296475,248.4993804213135,9.5367431640625e-07,7.038225889205933,0.7794964579731299,1.5800359495710186,Malicious,dns2tcp_tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.208', 59862))",1,280,19.849836481268678,100.56020942408377,1.71661376953125e-05,8.033369779586792,1.6478721000391041,2.172396121829077,66,61710,3656.814159458924,431.0480349344978,1.9073486328125e-06,8.033369779586792,1.373767505328556,1.9244174300243666,1,61710,2705.2436175572925,280.7547619047619,1.9073486328125e-06,6.258507966995239,0.7483185579438602,1.5728969206088168,Malicious,dns2tcp_tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.208', 37222))",1,280,18.837091692236193,99.87583148558758,1.7881393432617188e-05,8.028946161270142,1.3977081955803765,2.1341317936914366,66,36955,1583.1877957154074,265.514598540146,9.5367431640625e-07,8.028946161270142,1.1498006231388183,1.7577373462709374,1,36955,1175.534990664267,190.73673673673673,9.5367431640625e-07,8.028186082839966,0.630229146303777,1.4210140226090502,Malicious,dns2tcp_tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.208', 42824))",1,280,19.379929660228104,100.13350125944585,2.002716064453125e-05,8.028911113739014,1.5906333610264942,2.2245531018375178,66,49549,2391.1048533074513,318.62394957983196,5.9604644775390625e-06,8.028911113739014,1.3260279750823976,1.882474128936001,1,49549,1769.007932472432,219.26460481099656,5.9604644775390625e-06,7.679095029830933,0.7223518474386372,1.5372392988315655,Malicious,dns2tcp_tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.208', 48556))",1,280,18.657357610491445,99.6319612590799,2.09808349609375e-05,8.029727935791016,1.5196393496781877,2.1993771212645865,66,63171,3677.285005566963,420.7054945054945,9.5367431640625e-07,8.029727935791016,1.378995475790049,1.8254939606659348,1,63171,2667.254260426591,267.93663594470047,9.5367431640625e-07,8.027661085128784,0.722135423376486,1.4891156873244986,Malicious,dns2tcp_tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.208', 54388))",1,9821,436.4697973973255,119.28225806451613,1.811981201171875e-05,8.004715204238892,1.2598153350329158,1.9968155363010671,66,49645,2092.975826566387,302.3600583090379,2.86102294921875e-06,8.004715204238892,0.9103375006766214,1.572218205109835,1,49645,1621.867073384544,225.53553299492387,2.86102294921875e-06,6.101685047149658,0.5280343698910189,1.2776002002143858,Malicious,dns2tcp_tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.208', 59940))",1,24689,1070.2695174204907,146.42314990512335,1.621246337890625e-05,7.092663049697876,1.194042378505373,1.9654968828360677,66,64598,3432.3633506143665,366.33674963396777,2.1457672119140625e-06,7.092663049697876,0.9208777272456552,1.5580415200836377,1,64598,2675.965314151928,270.55619834710745,2.1457672119140625e-06,6.2665770053863525,0.5194923830387315,1.2495968791679113,Malicious,dns2tcp_tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.208', 37696))",1,11840,589.5131543547004,130.23232323232324,1.811981201171875e-05,8.002043008804321,1.5910771363898168,2.1573128885954285,66,32482,1476.2044520339675,262.7928436911488,9.5367431640625e-07,8.002043008804321,1.1857493247625963,1.838728904006686,1,32482,1183.6491988057155,206.16504854368932,9.5367431640625e-07,7.476984024047852,0.6786992104470602,1.5081228018074286,Malicious,dns2tcp_tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.208', 43698))",1,280,19.951260546362096,100.35452322738386,1.7881393432617188e-05,7.487144947052002,1.5376615144458472,2.1299364315098877,66,33822,1805.3811341756032,294.18095238095236,2.86102294921875e-06,7.487144947052002,1.197210669517517,1.7663331205563062,1,33822,1357.0283875392224,209.30406852248393,2.86102294921875e-06,7.091059923171997,0.6724178969923962,1.4501836086703879,Malicious,dns2tcp_tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.208', 49802))",1,280,20.088500476124285,101.21917808219177,2.09808349609375e-05,8.029987096786499,2.1671873302394173,2.322585504648007,66,58479,3304.1748443335337,394.69142857142856,3.0994415283203125e-06,8.029987096786499,1.8069444324362245,2.0503423594463457,1,58479,2444.071669538594,261.21183800623055,3.0994415283203125e-06,6.103852987289429,0.9838557146640724,1.757121245328209,Malicious,dns2tcp_tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.208', 56078))",1,280,19.1185372987608,99.8048780487805,1.9073486328125e-05,8.028185844421387,1.3961556821399266,2.10618960657821,66,21571,984.3302485769976,233.31307550644567,2.86102294921875e-06,8.028185844421387,1.1591187728726995,1.7752381010861131,1,21571,730.6678517116767,172.7374245472837,2.86102294921875e-06,7.091619968414307,0.6326989496102385,1.4316732089637716,Malicious,dns2tcp_tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.208', 33864))",1,280,19.43845639335906,100.15,1.1205673217773438e-05,7.094069004058838,1.3659481420496191,2.1053116078150564,66,49060,2285.5599238421946,310.13285457809695,1.9073486328125e-06,7.094069004058838,1.1275945091419082,1.7360146533946423,1,49060,1694.7284231328426,215.15535889872174,1.9073486328125e-06,7.09299111366272,0.6170966507881646,1.4004748858488825,Malicious,dns2tcp_tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.208', 40224))",1,15218,671.6874314483065,129.36166007905138,1.6927719116210938e-05,6.102809906005859,1.238007627619375,1.947643492263051,66,64831,3024.4019455480156,354.9204892966361,1.9073486328125e-06,6.102809906005859,0.9573751408692341,1.6149104454601777,1,64831,2316.534596551638,256.5301724137931,9.5367431640625e-07,6.102315902709961,0.5394252389540849,1.3014949311978277,Malicious,dns2tcp_tunnel,AdGuard
