flow_id,src2dst_min_length,src2dst_max_length,src2dst_stddev_length,src2dst_mean_length,src2dst_min_time,src2dst_max_time,src2dst_mean_time,src2dst_stddev_time,dst2src_min_length,dst2src_max_length,dst2src_stddev_length,dst2src_mean_length,dst2src_min_time,dst2src_max_time,dst2src_mean_time,dst2src_stddev_time,bidirectional_min_length,bidirectional_max_length,bidirectional_stddev_length,bidirectional_mean_length,bidirectional_min_time,bidirectional_max_time,bidirectional_mean_time,bidirectional_stddev_time,label,type,doh_server
"(('192.168.20.210', 47482), ('9.9.9.11', 443))",1,65446,1545.3958906084858,137.44172086043022,1.7881393432617188e-05,49473.01303386688,37.67727720021485,1246.3208666799399,47,55406,2060.247375323385,219.498764211567,1.1920928955078125e-06,49473.01303386688,37.230061078165924,1238.9096713828071,1,65446,1823.0896254881818,178.7150671307807,0.0,49473.01303386688,18.721512023384552,878.7398868258427,Malicious,dns2tcp_tunnel,Quad9
"(('192.168.20.210', 47494), ('9.9.9.11', 443))",1,256,26.083078208972687,91.93661971830986,2.09808349609375e-05,75181.77499008179,533.694914914192,6308.915437212803,47,9647,1062.8305862909456,231.64666666666668,9.5367431640625e-07,75181.77499008179,505.0400434308404,6138.392158795918,1,9647,765.1701947647183,163.7054794520548,9.5367431640625e-07,75181.77499008179,258.5944433089384,4399.641353812327,Malicious,dns2tcp_tunnel,Quad9
"(('192.168.20.210', 47496), ('9.9.9.11', 443))",1,256,18.21184459278734,92.70175438596492,2.002716064453125e-05,33.74846911430359,0.24804943028618306,2.580119675266193,47,17444,1361.5256523198814,222.90062111801242,3.0994415283203125e-06,33.74846911430359,0.26339464336633683,2.3803499195557225,1,17444,950.4541123569593,155.84036144578315,3.0994415283203125e-06,30.00202178955078,0.12739698836450492,1.659847644518996,Malicious,dns2tcp_tunnel,Quad9
"(('192.168.20.210', 47500), ('9.9.9.11', 443))",1,256,43.614771166302,89.79166666666667,4.100799560546875e-05,34.03332710266113,1.6087370437124502,6.920616270670972,47,60561,12082.933601146795,2613.5833333333335,6.9141387939453125e-06,34.03332710266113,1.6078422173209812,6.110607989164348,1,60561,8636.664542702645,1351.6875,6.9141387939453125e-06,30.00005006790161,0.7872542979869437,4.321536784391859,Malicious,dns2tcp_tunnel,Quad9
"(('192.168.20.210', 47502), ('9.9.9.11', 443))",1,256,45.0628970590887,89.84444444444445,2.193450927734375e-05,49464.83206987381,1125.7832673408768,7371.639079244155,47,64661,10811.256102520452,2192.0,1.9073486328125e-06,49464.83206987381,1456.8955083804972,8357.114904774791,1,64661,7226.691525075202,1009.5375,1.9073486328125e-06,49464.83206987381,627.0185286455517,5529.795475447227,Malicious,dns2tcp_tunnel,Quad9
"(('192.168.20.210', 47504), ('9.9.9.11', 443))",1,256,51.848127967193,89.3529411764706,4.291534423828125e-05,33.31441617012024,2.127102568745613,8.054064341511099,47,43434,10581.586202245651,3546.0,9.5367431640625e-07,33.31441617012024,2.0010141765370086,7.058163072270348,1,43434,7782.706708531448,1867.057142857143,9.5367431640625e-07,29.98490595817566,1.0009894441155827,5.077166243896762,Malicious,dns2tcp_tunnel,Quad9
"(('192.168.20.210', 47510), ('9.9.9.11', 443))",1,256,80.6792591509296,86.0,5.507469177246094e-05,33.96559500694275,5.669165333112081,12.65455365411788,47,41805,14583.918476268615,6082.142857142857,2.8848648071289062e-05,33.96559500694275,5.6663380066553755,10.978445392934164,1,41805,10739.507713273888,3084.0714285714284,2.8848648071289062e-05,30.00143814086914,2.6165378460517297,7.974955937757206,Malicious,dns2tcp_tunnel,Quad9
"(('192.168.20.210', 47514), ('9.9.9.11', 443))",1,256,80.66155040839294,86.0,5.4836273193359375e-05,49456.08010816574,3809.4350859935466,13177.056765949937,47,55555,15442.786567196994,6911.8,1.0967254638671875e-05,49456.08010816574,3537.3313845055445,12735.578113214024,1,55555,11618.464788244264,3616.5862068965516,1.0967254638671875e-05,49456.08010816574,1768.6662899255753,9177.450292308135,Malicious,dns2tcp_tunnel,Quad9
"(('192.168.20.210', 47518), ('9.9.9.11', 443))",1,256,80.6792591509296,86.0,6.008148193359375e-05,75148.62126493454,5785.804945780681,20023.323900149288,47,42886,16542.967023145782,8396.733333333334,1.1205673217773438e-05,75148.62126493454,5372.531938229288,19352.412634938515,1,42886,12601.706469762712,4384.6551724137935,1.1205673217773438e-05,75148.62126493454,2686.2665819696017,13945.388783004324,Malicious,dns2tcp_tunnel,Quad9
"(('192.168.20.210', 47522), ('9.9.9.11', 443))",1,256,80.61979298167519,85.85714285714286,6.699562072753906e-05,34.013659954071045,5.677293499310811,12.672414164036173,47,18242,6338.746225736263,2716.0,5.2928924560546875e-05,34.013659954071045,5.674540837605794,10.97679156974557,1,18242,4671.457427280909,1400.9285714285713,5.2928924560546875e-05,30.00060510635376,2.620289307374221,7.975366020634973,Malicious,dns2tcp_tunnel,Quad9
"(('192.168.20.210', 47526), ('9.9.9.11', 443))",1,256,80.6792591509296,86.0,9.298324584960938e-05,33.11557602882385,5.5278018315633135,12.33763397435891,47,40664,14184.655113673985,5919.142857142857,0.00015997886657714844,33.11557602882385,5.525001009305318,11.004901415290279,1,40664,10445.662440282404,3002.5714285714284,5.2928924560546875e-05,30.001728057861328,2.5512931530292215,7.96715218318655,Malicious,dns2tcp_tunnel,Quad9
