flow_id,src2dst_min_length,src2dst_max_length,src2dst_stddev_length,src2dst_mean_length,src2dst_min_time,src2dst_max_time,src2dst_mean_time,src2dst_stddev_time,dst2src_min_length,dst2src_max_length,dst2src_stddev_length,dst2src_mean_length,dst2src_min_time,dst2src_max_time,dst2src_mean_time,dst2src_stddev_time,bidirectional_min_length,bidirectional_max_length,bidirectional_stddev_length,bidirectional_mean_length,bidirectional_min_time,bidirectional_max_time,bidirectional_mean_time,bidirectional_stddev_time,label,type,doh_server
"(('176.103.130.130', 443), ('192.168.20.144', 40490))",1,280,31.857151460442186,102.5909090909091,0.00010395050048828125,180.1628589630127,3.6924301074101376,22.060385773427114,19,35892,5047.099034384599,1044.7826086956522,9.059906005859375e-06,180.1628589630127,3.529132176848019,21.56688478390818,1,35892,3638.950102691234,584.1555555555556,9.059906005859375e-06,180.001718044281,1.7911041565795442,15.457458186171175,Malicious,dsncat2_default-baseline,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 40492))",1,280,29.508730089842082,100.5,0.00017189979553222656,180.1606261730194,3.694388477618878,22.059905906330847,19,9274,1093.9763320939176,324.5735294117647,2.5987625122070312e-05,180.1606261730194,3.5837014006144963,21.723301206724187,1,9274,787.5923170208375,214.2089552238806,2.5987625122070312e-05,179.9991409778595,1.805528203347572,15.514486853632576,Malicious,dsncat2_default-baseline,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 40494))",1,280,29.734740504995305,100.44615384615385,9.489059448242188e-05,181.02232789993286,3.7502183094620705,22.33581893859852,19,29828,3593.783053459239,633.5522388059702,2.5987625122070312e-05,181.02232789993286,3.6361652865554346,21.882955066831844,1,29828,2574.2864866272876,371.0378787878788,2.5987625122070312e-05,179.99880695343018,1.8321677237066605,15.631104472350012,Malicious,dsncat2_default-baseline,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 40496))",1,280,29.50872620000294,100.48484848484848,0.00010895729064941406,181.0224850177765,3.708145123261672,22.16591224585833,19,62559,10062.582283809734,1928.1159420289855,1.9073486328125e-05,181.0224850177765,3.5441351778366985,21.565288257343195,1,62559,7251.752553536484,1034.6074074074074,1.9073486328125e-05,179.99763894081116,1.7987271120299155,15.456849963917055,Malicious,dsncat2_default-baseline,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 40498))",1,280,29.50872620000294,100.48484848484848,0.00011205673217773438,180.1573131084442,3.6954916330484244,22.059360630716565,19,5102,588.0509892632907,262.3478260869565,2.9087066650390625e-05,180.1573131084442,3.5320559985497417,21.53652048803148,1,5102,428.62177724500816,183.21481481481482,2.9087066650390625e-05,179.7644281387329,1.792589224986176,15.437216864081604,Malicious,dsncat2_default-baseline,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 40500))",1,280,29.008382277990847,100.85507246376811,0.000102996826171875,180.16405606269836,3.548173694049611,21.5793186022455,19,60591,7494.010016126295,1335.9295774647887,3.790855407714844e-05,180.16405606269836,3.446409058570862,21.262563446837593,1,60591,5372.422769219163,727.2142857142857,3.790855407714844e-05,180.00110411643982,1.735797202844414,15.179834048840837,Malicious,dsncat2_default-baseline,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 40502))",1,280,29.722320423562945,100.44615384615385,0.00014495849609375,180.16327905654907,3.738877486437559,22.229033269511707,19,52470,6339.20785887424,970.9253731343283,7.152557373046875e-06,180.16327905654907,3.625167196447199,21.884397952380773,1,52470,4537.294261659118,542.280303030303,7.152557373046875e-06,180.00119304656982,1.8266271689465938,15.632049029924607,Malicious,dsncat2_default-baseline,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 40504))",1,280,29.508695081271366,100.54545454545455,8.702278137207031e-05,180.16198921203613,3.695296757037823,22.059966826454563,19,42566,5608.032686503928,1106.1014492753623,1.5020370483398438e-05,180.16198921203613,3.5318722935283886,21.56585262607586,1,42566,4040.735908175133,614.4962962962964,1.5020370483398438e-05,179.9998471736908,1.7924946955780485,15.457780890270147,Malicious,dsncat2_default-baseline,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 40506))",1,280,29.73478030460816,100.47692307692307,8.296966552734375e-05,181.0179958343506,3.75173095241189,22.335090626117804,19,55294,6958.41451142137,1270.4558823529412,2.5987625122070312e-05,181.0179958343506,3.5833372963008596,21.723290663187615,1,55294,5009.822541072775,698.6616541353384,2.5987625122070312e-05,180.00166416168213,1.8190210678360679,15.572937960566685,Malicious,dsncat2_default-baseline,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 40508))",1,280,29.508730089842082,100.5,7.390975952148438e-05,180.1628270149231,3.6939193102029653,22.06023773992898,19,61927,7380.777931988434,1126.4202898550725,3.695487976074219e-05,180.1628270149231,3.5305523662006153,21.565494716082902,1,61927,5301.57079610543,624.8592592592593,3.695487976074219e-05,179.9994080066681,1.7918265310686026,15.457747678268136,Malicious,dsncat2_default-baseline,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 40510))",1,280,27.93565726353261,101.75384615384615,9.298324584960938e-05,1.077333927154541,0.9377733618021011,0.2703877500156832,66,55433,8840.277511295719,1743.0298507462687,4.0531158447265625e-06,1.077333927154541,0.9114105159586127,0.515559871717737,1,55433,6351.454868525187,934.8257575757576,4.0531158447265625e-06,1.005403995513916,0.459391268155047,0.4003671862605303,Malicious,dsncat2_default-baseline,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 40512))",1,280,28.118085087437496,101.671875,9.894371032714844e-05,1.0783088207244873,0.9375051430293492,0.2727383438917534,66,62368,8427.979924834111,1606.1515151515152,1.9073486328125e-05,1.0783088207244873,0.9107259236849271,0.5205827564795826,1,62368,6052.101616202443,865.4846153846154,1.9073486328125e-05,1.0054819583892822,0.4591017675030139,0.4010870702658029,Malicious,dsncat2_default-baseline,AdGuard
