flow_id,src2dst_min_length,src2dst_max_length,src2dst_stddev_length,src2dst_mean_length,src2dst_min_time,src2dst_max_time,src2dst_mean_time,src2dst_stddev_time,dst2src_min_length,dst2src_max_length,dst2src_stddev_length,dst2src_mean_length,dst2src_min_time,dst2src_max_time,dst2src_mean_time,dst2src_stddev_time,bidirectional_min_length,bidirectional_max_length,bidirectional_stddev_length,bidirectional_mean_length,bidirectional_min_time,bidirectional_max_time,bidirectional_mean_time,bidirectional_stddev_time,label,type,doh_server
"(('176.103.130.130', 443), ('192.168.20.204', 37908))",1,280,61.983992337719336,149.64285714285714,6.29425048828125e-05,180.23271012306213,7.448448596177278,33.88804881070877,19,29656,7318.285117241065,2529.6774193548385,1.3828277587890625e-05,180.23271012306213,6.688151836395264,32.188890510501054,1,29656,5436.412217794113,1400.1694915254238,1.3828277587890625e-05,180.00250482559204,3.467381243048043,23.38519101258382,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 37914))",1,280,57.703751248019216,154.40740740740742,6.604194641113281e-05,180.2294638156891,7.7198902276846075,34.50413337593821,19,56321,10065.503187786158,2147.9,1.71661376953125e-05,180.2294638156891,6.91983699798584,32.71416140067663,1,56321,7369.916740595635,1203.6140350877192,1.71661376953125e-05,179.99970698356628,3.584234748567854,23.790531020113637,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 37918))",1,280,57.68239990897795,154.33333333333334,7.295608520507812e-05,181.15503907203674,7.756675344247085,34.6819014949936,19,58822,13407.626276116143,3781.2,1.3828277587890625e-05,181.15503907203674,6.9533250414091965,32.70800726535641,1,58822,9894.133180540637,2063.2105263157896,5.0067901611328125e-06,179.99996614456177,3.6013135526861464,23.788515753774508,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 37922))",1,280,57.692767470293404,154.37037037037038,7.295608520507812e-05,181.1593940258026,7.754977923173171,34.68309485045726,19,38585,6917.45493411815,1664.9666666666667,2.002716064453125e-05,181.1593940258026,6.951807827785097,32.70981923440697,1,38585,5074.968443242546,949.421052631579,2.002716064453125e-05,179.99972891807556,3.6005254643304005,23.788446428644193,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 37926))",1,280,57.74678656016013,154.55555555555554,6.985664367675781e-05,181.16088485717773,7.75562964952909,34.6832658440876,19,49427,8824.05907232985,2240.064516129032,1.9073486328125e-05,181.16088485717773,6.720642765363057,32.18229595288949,1,49427,6534.576729671869,1269.2241379310344,1.9073486328125e-05,179.99762320518494,3.5376556296097603,23.583313768919947,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 37932))",1,280,57.87302103411177,158.75862068965517,7.891654968261719e-05,180.22994709014893,7.166873787130628,33.308469868761726,19,56323,11481.400103162021,3175.733333333333,5.9604644775390625e-06,180.22994709014893,6.918809208376654,32.71470975641587,1,56323,8324.958922837684,1692.8135593220338,5.9604644775390625e-06,179.9984540939331,3.4598701041320274,23.385600403122098,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 37938))",1,280,57.66322927979265,154.37037037037038,5.91278076171875e-05,180.23390698432922,7.717710504165063,34.505457829518114,19,22305,4099.538629325662,1171.4,4.38690185546875e-05,180.23390698432922,6.91839679356279,32.7149244046318,1,22305,3017.4199882775893,689.6491228070175,4.38690185546875e-05,180.00507593154907,3.583222734076636,23.79120800227731,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 37942))",1,280,57.581528054696975,154.1851851851852,7.200241088867188e-05,181.17839312553406,7.755355963340173,34.68680597906512,19,10839,1907.0981565952204,578.5666666666667,2.6941299438476562e-05,181.17839312553406,6.9521340008439685,32.709710658502686,1,10839,1400.2476857362287,377.5438596491228,2.6941299438476562e-05,179.99935293197632,3.6007009829793657,23.788389401188233,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 37946))",1,280,57.66322927979265,154.37037037037038,6.413459777832031e-05,181.1849880218506,7.756422272095313,34.68793138838954,19,59706,11772.224900681362,3189.233333333333,2.9087066650390625e-05,181.1849880218506,6.953099275457448,32.7091526290871,1,59706,8673.950398778394,1751.6666666666667,2.9087066650390625e-05,180.00542902946472,3.6011960549013957,23.789214140082297,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 37950))",1,280,57.74678656016014,154.55555555555554,7.605552673339844e-05,180.23109006881714,7.721907313053425,34.50408515380275,19,51059,10050.575367112075,2752.3,2.288818359375e-05,180.23109006881714,6.922162450593094,32.712990407115484,1,51059,7406.029489394701,1521.7894736842106,2.288818359375e-05,179.9992229938507,3.58517125248909,23.78995805688229,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 37954))",1,280,57.70638989611332,154.5185185185185,8.511543273925781e-05,184.15837788581848,7.870411808674152,35.25976623493976,19,47697,9640.59915957279,2690.6666666666665,2.8848648071289062e-05,184.15837788581848,7.055300276854942,32.69638261531464,1,47697,7107.84994098959,1489.3333333333333,2.8848648071289062e-05,179.999174118042,3.654119768312999,23.785911710373174,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 37958))",1,280,57.6735765026914,154.40740740740742,7.891654968261719e-05,181.09269309043884,7.750457387704116,34.67062818154787,19,49366,9819.69525641651,2711.9333333333334,1.4066696166992188e-05,181.09269309043884,6.947757622291302,32.70919709223758,1,49366,7237.611848313733,1500.4736842105262,1.4066696166992188e-05,180.0000638961792,3.5984266442911967,23.78872558643476,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 37962))",1,280,57.65285640670245,154.33333333333334,6.699562072753906e-05,181.15859198570251,7.755328609393193,34.68285779921576,19,16780,3008.709512214313,873.0666666666667,3.0994415283203125e-05,181.15859198570251,6.952112929574374,32.70803371749057,1,16780,2212.4074824893682,532.6140350877193,3.0994415283203125e-05,179.99789786338806,3.600688282932554,23.788157672433954,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 37966))",1,280,57.6735765026914,154.40740740740742,6.818771362304688e-05,180.24128794670105,7.719303039404062,34.50661536777235,19,47264,11138.689439167529,3187.3333333333335,3.218650817871094e-05,180.24128794670105,6.919812654626781,32.71394530241967,1,47264,8221.622531968476,1750.6842105263158,3.218650817871094e-05,179.99788784980774,3.5839621254376004,23.79031370507325,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 37970))",1,280,57.692767470293404,154.37037037037038,7.915496826171875e-05,180.22778415679932,7.718854849155132,34.50400422758786,19,47030,9621.817819067941,2701.3,4.696846008300781e-05,180.22778415679932,6.91941551504464,32.71397022008749,1,47030,7095.405942514745,1494.859649122807,3.910064697265625e-05,179.9964039325714,3.5837540371077403,23.790071134136355,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 37974))",1,280,57.703751248019216,154.40740740740742,9.107589721679688e-05,181.17807912826538,7.755438309449416,34.68674350025661,19,32911,5950.08734352325,1528.0666666666666,4.696846008300781e-05,181.17807912826538,6.952210656527815,32.70775666828659,1,32911,4370.977833328847,877.3859649122807,4.601478576660156e-05,179.99899101257324,3.6007392151015147,23.788387977741017,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 37978))",1,280,55.81775594482292,155.58620689655172,8.606910705566406e-05,180.22736120224,7.169266751834324,33.30743158446425,19,54040,12464.90054414564,3482.8064516129034,1.9073486328125e-05,180.22736120224,6.690415263175964,32.1877177295968,1,54040,9112.763830337095,1874.65,1.9073486328125e-05,179.99881887435913,3.4023638822264592,23.190488451247383,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 37984))",1,280,55.78010163496172,155.44827586206895,7.891654968261719e-05,180.22852110862732,7.16699264730726,33.30809570130187,19,52809,9814.919527377127,2530.9333333333334,2.7894973754882812e-05,180.22852110862732,6.918913273975767,32.71416748428198,1,52809,7098.9124099941355,1363.322033898305,2.7894973754882812e-05,179.99811697006226,3.459927484906953,23.38548701483305,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 37988))",1,280,57.64245786957338,154.2962962962963,5.984306335449219e-05,180.23122882843018,7.721462304775532,34.50418380543409,19,64533,15662.275774789425,4399.766666666666,4.506111145019531e-05,180.23122882843018,6.921759523194412,32.713936210793165,1,64533,11558.718875590706,2388.754385964912,4.506111145019531e-05,180.0012629032135,3.5849646415029253,23.790603479838346,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 37992))",1,280,57.6735765026914,154.40740740740742,8.988380432128906e-05,181.19085812568665,7.7567901611328125,34.68903454943274,19,44643,10555.705089613335,3032.1666666666665,4.410743713378906e-05,181.19085812568665,6.953433719174615,32.709096463458565,1,44643,7791.652705099554,1669.017543859649,4.410743713378906e-05,179.99987411499023,3.601366860525949,23.788457000954406,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 37996))",1,280,57.6735765026914,154.40740740740742,6.389617919921875e-05,180.22716403007507,7.7193138140898485,34.50380026145933,19,48084,9738.5365134261,2718.9,2.5033950805664062e-05,180.22716403007507,6.919834243840184,32.71407506940249,1,48084,7180.284745950762,1504.140350877193,2.5033950805664062e-05,179.998468875885,3.5839671279702867,23.790358853503236,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 38000))",1,280,57.57952692093742,154.07407407407408,7.605552673339844e-05,180.23014903068542,7.7162363070708055,34.50498259620866,19,61027,12956.901904390568,3610.2,3.0994415283203125e-05,180.23014903068542,6.91707075875381,32.715850948447994,1,61027,9557.095931371001,1973.0877192982457,3.0994415283203125e-05,179.99916195869446,3.582538285425731,23.790486438782654,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 38004))",1,280,57.632033654513755,154.25925925925927,6.914138793945312e-05,180.22615909576416,7.7182835798997145,34.50380343417893,19,50388,9030.842031973078,2229.0,2.09808349609375e-05,180.22615909576416,6.68827760219574,32.187429540402384,1,50388,6683.030644173578,1263.1724137931035,2.09808349609375e-05,179.99746704101562,3.520620580305133,23.5853214543679,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 38012))",1,280,65.4324496689445,145.20689655172413,6.580352783203125e-05,181.1028790473938,7.226151040622166,33.46490168525362,19,47904,8555.617266451321,1857.3,2.9802322387695312e-05,181.1028790473938,6.949087414248236,32.71096278668339,1,47904,6160.708564076938,1015.7627118644068,2.9802322387695312e-05,180.0047471523285,3.4884867092658736,23.38299648477157,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 38016))",1,280,57.75764131537489,154.59259259259258,6.389617919921875e-05,180.23037910461426,7.721102421100323,34.504091494451735,19,53113,10839.960705067568,3438.9032258064517,1.9073486328125e-05,180.23037910461426,6.6907234986623125,32.1872685806238,1,53113,8092.56837453671,1910.0,1.9073486328125e-05,179.99873208999634,3.5219063675194455,23.585195780844533,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 38020))",1,280,57.86299508558427,154.85185185185185,7.700920104980469e-05,181.19181394577026,7.755176690908579,34.689531668150806,19,58905,12822.813787835335,4518.25,2.5987625122070312e-05,181.19181394577026,6.503462483805995,31.684685993564926,1,58905,9690.540626627155,2521.4406779661017,2.5987625122070312e-05,179.9999179840088,3.4764585166141906,23.38420056600685,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 38024))",1,280,57.57952692093742,154.07407407407408,6.318092346191406e-05,180.2261459827423,7.720768112402696,34.50330355433439,19,15622,3012.8655728392528,969.2,4.00543212890625e-05,180.2261459827423,6.921134899402487,32.713433228594916,1,15622,2223.6850581679414,583.0877192982456,4.00543212890625e-05,179.99670004844666,3.5846423379012515,23.78996614756294,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 38028))",1,280,57.65285640670245,154.33333333333334,7.009506225585938e-05,180.23051810264587,7.716541923009432,34.50499989587077,19,48358,9728.533357603294,2707.1,4.506111145019531e-05,180.23051810264587,6.917320900949939,32.71462850090839,1,48358,7172.101345367193,1497.8947368421052,4.506111145019531e-05,180.0026340484619,3.5826801785400937,23.790935398821333,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 38034))",1,280,57.6735765026914,154.40740740740742,8.20159912109375e-05,181.11054706573486,7.7545200402920065,34.673420643572356,19,53466,9852.4987929002,2812.2903225806454,1.6927719116210938e-05,181.11054706573486,6.719678894678752,32.18348603430815,1,53466,7324.097298737866,1575.0,1.6927719116210938e-05,180.00110793113708,3.5371494920630204,23.58357046710367,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 38038))",1,280,57.64067303500775,154.1851851851852,6.794929504394531e-05,181.17228412628174,7.7559579244026775,34.6854862278988,19,23654,4252.756570220726,1140.5666666666666,3.0040740966796875e-05,181.17228412628174,6.952686449577069,32.710109249826914,1,23654,3124.5883059807006,673.3333333333334,3.0040740966796875e-05,180.0022349357605,3.600980464901243,23.7886919454317,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 38042))",1,280,57.69547794743528,154.4814814814815,5.793571472167969e-05,180.2306191921234,7.722532079770015,34.50385585421508,19,47193,10086.193660015977,3084.967741935484,1.6927719116210938e-05,180.2306191921234,6.6919578313827515,32.187538030285005,1,47193,7517.439916490059,1720.7758620689656,1.6927719116210938e-05,179.99995803833008,3.5225584925266733,23.58536988583199,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 38046))",1,280,57.68454015452932,154.44444444444446,8.606910705566406e-05,181.16678190231323,7.754346269827622,34.68469541426334,19,51471,9195.433395381038,1988.7333333333333,2.6941299438476562e-05,181.16678190231323,6.951237448330583,32.70808357181069,1,51471,6733.762357632882,1119.859649122807,2.6941299438476562e-05,179.99765801429749,3.600232196705682,23.78825942579896,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 38050))",1,280,57.65349881772941,154.33333333333334,8.821487426757812e-05,181.07805514335632,7.7555060386657715,34.66673679341256,19,47759,11575.452771802156,3308.1666666666665,2.8133392333984375e-05,181.07805514335632,6.952280661155438,32.70847690148942,1,47759,8544.178578938796,1814.2456140350878,2.8133392333984375e-05,180.00108408927917,3.600770660809108,23.788518833093164,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 38054))",1,280,57.64245786957338,154.2962962962963,7.581710815429688e-05,180.23374605178833,7.721911467038668,34.504604455322756,19,56217,12248.482219039846,3571.6774193548385,2.002716064453125e-05,180.23374605178833,6.691417137781779,32.18810870877946,1,56217,9115.54874194775,1980.8275862068965,2.002716064453125e-05,180.00015020370483,3.522275406017638,23.585354586583353,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 38058))",1,280,57.61289388529389,154.2962962962963,8.487701416015625e-05,181.18004393577576,7.756289115318885,34.6869687687788,19,51440,10314.728873261232,2851.266666666667,1.9073486328125e-05,181.18004393577576,6.952959175767569,32.70888796445924,1,51440,7603.393695847907,1573.7543859649122,1.9073486328125e-05,180.00509214401245,3.6011342321123396,23.788833253780265,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 38062))",1,280,57.54993060839909,154.07407407407408,7.891654968261719e-05,181.18236207962036,7.755673811985896,34.68754889574235,19,35858,7930.96202298309,2315.7,2.7894973754882812e-05,181.18236207962036,6.952429927628616,32.708487604290816,1,35858,5854.215254517861,1291.7719298245613,2.7894973754882812e-05,179.99780201911926,3.6008485555648804,23.788016747713552,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 38066))",1,280,57.66322927979265,154.37037037037038,7.605552673339844e-05,180.2316379547119,7.717342074100788,34.505070393513066,19,60914,13279.892754117938,3970.2903225806454,1.4066696166992188e-05,180.2316379547119,6.687460470199585,32.18891857842073,1,60914,9893.611404866244,2193.9137931034484,1.4066696166992188e-05,180.00113010406494,3.5201911215196575,23.585772346920994,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 38072))",1,280,56.69840547734538,154.92857142857142,0.0001277923583984375,180.2371518611908,7.443438070791739,33.88991382322324,19,64293,14293.162243384519,4473.709677419355,1.1920928955078125e-05,180.2371518611908,6.6981468041737875,32.1881471475294,1,64293,10582.703262487132,2424.1186440677966,1.1920928955078125e-05,180.00769305229187,3.465048757092706,23.386226083031815,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 38076))",1,280,57.61110813481426,154.1851851851852,6.890296936035156e-05,180.2251329421997,7.720720612085783,34.50311354329652,19,45007,10971.10909662282,3146.7,2.09808349609375e-05,180.2251329421997,6.921083548973346,32.71354706945618,1,45007,8098.41221266654,1729.1929824561403,2.09808349609375e-05,179.99680089950562,3.5846202841826846,23.7899458786438,Malicious,dsncat2_default-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.204', 38080))",1,280,57.79005092818814,154.7037037037037,6.890296936035156e-05,180.22671914100647,7.718146929374108,34.50393186526685,19,43648,9725.4730372423,3158.516129032258,2.4080276489257812e-05,180.22671914100647,6.6881605307261145,32.189959742427874,1,43648,7266.3957233871115,1760.1896551724137,2.4080276489257812e-05,179.99817895889282,3.5205582484864353,23.58548340142121,Malicious,dsncat2_default-tunnel,AdGuard
