flow_id,src2dst_min_length,src2dst_max_length,src2dst_stddev_length,src2dst_mean_length,src2dst_min_time,src2dst_max_time,src2dst_mean_time,src2dst_stddev_time,dst2src_min_length,dst2src_max_length,dst2src_stddev_length,dst2src_mean_length,dst2src_min_time,dst2src_max_time,dst2src_mean_time,dst2src_stddev_time,bidirectional_min_length,bidirectional_max_length,bidirectional_stddev_length,bidirectional_mean_length,bidirectional_min_time,bidirectional_max_time,bidirectional_mean_time,bidirectional_stddev_time,label,type,doh_server
"(('1.1.1.1', 443), ('192.168.20.204', 43376))",1,256,7.8359523605725725,102.11781365052393,9.202957153320312e-05,1.0504491329193115,0.22384457453114454,0.2510630654045539,26,12415,219.0880525644648,183.0940925266904,3.814697265625e-06,1.0504491329193115,0.11248636445993715,0.211276692417167,1,12415,182.8219495445851,156.00738916256157,3.814697265625e-06,1.0019888877868652,0.07486227836048699,0.15497384727307592,Malicious,dsncat2_txt-tunnel,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.204', 43382))",1,256,7.77460919164503,102.18415727088754,6.699562072753906e-05,1.0506901741027832,0.22902504828294762,0.2567719380437016,26,57663,708.7393762589547,168.92581256376621,4.0531158447265625e-06,1.0506901741027832,0.1154625395296614,0.2164415747619829,1,57663,578.7593565773622,146.55571705426357,4.0531158447265625e-06,0.9545888900756836,0.07676033211697071,0.15896449988792846,Malicious,dsncat2_txt-tunnel,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.204', 43388))",1,256,7.7473556983301535,102.21779859484778,7.891654968261719e-05,1.0505318641662598,0.20591679232496574,0.22360006837828234,26,41381,498.77592847546447,191.01483795392426,3.814697265625e-06,1.0505318641662598,0.10297638675999561,0.18883840823518924,1,41381,409.3928154876281,161.40812077043208,3.814697265625e-06,0.9563288688659668,0.06864488643058728,0.13790961248761166,Malicious,dsncat2_txt-tunnel,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.204', 43394))",1,256,7.725615124393604,102.08472686733556,8.797645568847656e-05,1.050619125366211,0.22064525256224718,0.24718011638390433,26,36994,460.6131694839452,174.3268667131891,4.76837158203125e-06,1.050619125366211,0.11048768439950522,0.2078841770994385,1,36994,377.55915841233343,150.2215195759323,4.76837158203125e-06,0.9545798301696777,0.07361887537297748,0.15256820536555737,Malicious,dsncat2_txt-tunnel,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.204', 43400))",1,256,7.767520881830396,102.15377804014167,7.700920104980469e-05,1.050750970840454,0.2335664165875255,0.2665546518720662,26,40169,504.0858105337538,154.2182275484539,4.76837158203125e-06,1.050750970840454,0.11704974800357101,0.2228166972373928,1,40169,412.16840296586145,136.83433527150882,4.76837158203125e-06,1.0015039443969727,0.0779705749045879,0.1646701630268942,Malicious,dsncat2_txt-tunnel,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.204', 43406))",1,256,7.573302783876545,102.45324584016873,8.320808410644531e-05,1.0502378940582275,0.18568667999970426,0.18269274544157635,26,50753,573.2346100243004,193.21889319703914,4.0531158447265625e-06,1.0502378940582275,0.09307551952702739,0.16298806846553385,1,50753,469.80812785546976,162.90921897010486,4.0531158447265625e-06,1.0018548965454102,0.061997290199478625,0.11463117308955786,Malicious,dsncat2_txt-tunnel,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.204', 43412))",1,256,7.7428501174473165,102.42467343976777,8.392333984375e-05,1.050934076309204,0.2293597218190059,0.26025814403115105,26,53937,661.4311536875466,154.6905281536447,3.814697265625e-06,1.050934076309204,0.11496836522960552,0.21690579029846374,1,53937,540.4147245964298,137.23987206823028,3.814697265625e-06,0.9553298950195312,0.07658052416726856,0.16004163049704168,Malicious,dsncat2_txt-tunnel,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.204', 43418))",1,256,7.565593272180915,101.95870069605569,6.914138793945312e-05,1.0503602027893066,0.18312752515209,0.17960895004667787,26,47708,545.1718177565816,214.62999185004074,3.814697265625e-06,1.0503602027893066,0.09189306718002767,0.15715707025589917,1,47708,448.0480143786224,176.98263431273742,3.814697265625e-06,0.9543488025665283,0.061187309892736935,0.11248225681377366,Malicious,dsncat2_txt-tunnel,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.204', 43424))",1,256,7.7018495873039345,101.95885005636978,7.295608520507812e-05,1.0500171184539795,0.22331214515733355,0.2517362541774475,26,63376,769.2907848697454,191.43719943422914,4.76837158203125e-06,1.0500171184539795,0.11206187421453608,0.21122181439193832,1,63376,629.1716895940734,161.53804859672255,4.76837158203125e-06,0.9546279907226562,0.07461443928279052,0.15533947534596523,Malicious,dsncat2_txt-tunnel,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.204', 43430))",1,256,7.606361027997498,102.33155823107201,6.794929504394531e-05,1.0501868724822998,0.18343798890054197,0.17958029878691503,26,41952,487.24241194860315,214.6011399325346,4.0531158447265625e-06,1.0501868724822998,0.09213801559707407,0.15767885139448642,1,41952,401.0532112963753,177.05915144007432,4.0531158447265625e-06,0.9535138607025146,0.0613306415851754,0.11262485026269184,Malicious,dsncat2_txt-tunnel,Cloudflare
