flow_id,src2dst_min_length,src2dst_max_length,src2dst_stddev_length,src2dst_mean_length,src2dst_min_time,src2dst_max_time,src2dst_mean_time,src2dst_stddev_time,dst2src_min_length,dst2src_max_length,dst2src_stddev_length,dst2src_mean_length,dst2src_min_time,dst2src_max_time,dst2src_mean_time,dst2src_stddev_time,bidirectional_min_length,bidirectional_max_length,bidirectional_stddev_length,bidirectional_mean_length,bidirectional_min_time,bidirectional_max_time,bidirectional_mean_time,bidirectional_stddev_time,label,type,doh_server
"(('192.168.20.209', 33552), ('9.9.9.11', 443))",1,256,7.73347647729717,102.35797382452739,7.200241088867188e-05,1.0509140491485596,0.16698697182626435,0.1287246857912414,47,54263,917.0580558079566,347.61787025703796,1.0013580322265625e-05,1.0509140491485596,0.16864679457508502,0.14057182060549628,1,54263,658.3812335563504,224.37559371574716,1.0013580322265625e-05,0.952049970626831,0.08390027512586364,0.09290261005226395,Malicious,dsncat2_txt-tunnel,Quad9
"(('192.168.20.209', 33560), ('9.9.9.11', 443))",1,256,7.801170909331733,102.270783847981,6.389617919921875e-05,1.0501048564910889,0.16341400095503925,0.12616511295601252,47,1260,33.16699382300486,347.5181557572862,2.4080276489257812e-05,1.0501048564910889,0.16433513668702923,0.13636906366427295,1,1260,124.9616505168086,224.5439494997618,2.4080276489257812e-05,1.001589059829712,0.08193085527334844,0.0908508139346752,Malicious,dsncat2_txt-tunnel,Quad9
"(('192.168.20.209', 33570), ('9.9.9.11', 443))",1,256,7.722640082810249,102.3316301703163,8.606910705566406e-05,1.0485649108886719,0.16811496424077346,0.13232859223513052,47,42133,657.5615118885825,357.55734058329216,1.621246337890625e-05,1.0485649108886719,0.17079434094234508,0.1446012968488444,1,42133,480.42813733691276,228.94310936733692,1.621246337890625e-05,1.001512050628662,0.08471853366152485,0.096148273515384,Malicious,dsncat2_txt-tunnel,Quad9
"(('192.168.20.209', 33578), ('9.9.9.11', 443))",1,256,7.831622657134087,102.19325236167342,6.198883056640625e-05,1.050757884979248,0.18757199030972968,0.18886102281539388,47,54314,893.489497362288,327.60672633577434,2.09808349609375e-05,1.050757884979248,0.188508071332798,0.19071245001175613,1,54314,641.0329408565798,214.62554112554113,2.09808349609375e-05,0.9527859687805176,0.09401395236699059,0.13430032783992113,Malicious,dsncat2_txt-tunnel,Quad9
"(('192.168.20.209', 33586), ('9.9.9.11', 443))",1,256,7.790126329308185,102.02637776731041,7.796287536621094e-05,1.0502309799194336,0.16385920988516475,0.12611694090857362,47,30906,470.5944602857247,354.51547365934323,2.5033950805664062e-05,1.0502309799194336,0.16434663821483605,0.1293499486848661,1,30906,355.70752094720797,228.07736761410544,2.5033950805664062e-05,0.9533238410949707,0.08204557041313097,0.09074843200561654,Malicious,dsncat2_txt-tunnel,Quad9
"(('192.168.20.209', 33594), ('9.9.9.11', 443))",1,256,7.744677133800393,102.27475888026346,7.009506225585938e-05,1.0506870746612549,0.16348912962745218,0.1257339606323563,47,52405,850.8543738116844,327.9337748344371,4.601478576660156e-05,1.0506870746612549,0.1643966895794513,0.13023482400106015,1,52405,611.3551883967409,214.79820733577074,1.9073486328125e-05,0.9599969387054443,0.08196759955110795,0.09045651282866611,Malicious,dsncat2_txt-tunnel,Quad9
"(('192.168.20.209', 33602), ('9.9.9.11', 443))",1,256,7.745802613558958,102.18508875739644,7.891654968261719e-05,1.0500211715698242,0.1641544197319132,0.12825268105516952,47,4985,80.93748705293815,338.07648456057007,0.00015306472778320312,1.0500211715698242,0.1647236170466254,0.131047934374953,1,4985,131.18997452136472,219.92104327208062,4.00543212890625e-05,1.0015449523925781,0.08221345375238337,0.09215504149846329,Malicious,dsncat2_txt-tunnel,Quad9
"(('192.168.20.209', 33610), ('9.9.9.11', 443))",1,256,7.893158291506595,102.19438700147711,7.987022399902344e-05,1.0498740673065186,0.2046902588355062,0.21748370563919683,47,34685,652.6635382525594,254.1282816229117,8.106231689453125e-06,1.0498740673065186,0.20668605426218004,0.22257668217743662,1,34685,466.63017556811064,177.78922369006978,8.106231689453125e-06,0.9531509876251221,0.1028313295575049,0.1550491638473609,Malicious,dsncat2_txt-tunnel,Quad9
"(('192.168.20.209', 33618), ('9.9.9.11', 443))",1,256,7.752152752609494,102.49451319168807,9.799003601074219e-05,1.0486299991607666,0.1622825514095401,0.12295278752195728,47,58142,886.7206224435633,346.2954438703617,1.5974044799804688e-05,1.0486299991607666,0.163168694901864,0.12692933970957435,1,58142,637.8681127426186,224.0381688326894,1.5974044799804688e-05,0.9545831680297852,0.08136930739293333,0.0879300926730167,Malicious,dsncat2_txt-tunnel,Quad9
"(('192.168.20.209', 33626), ('9.9.9.11', 443))",1,256,7.753044241374418,102.21401604530439,8.893013000488281e-05,1.0483980178833008,0.16376214137695183,0.12542214096092083,47,54174,829.828724675992,360.0612535612536,3.1948089599609375e-05,1.0483980178833008,0.16479107524515813,0.1270423973603779,1,54174,599.9164415122634,230.74094674556213,3.1948089599609375e-05,0.9530959129333496,0.08213448231002116,0.09032167747063288,Malicious,dsncat2_txt-tunnel,Quad9
