flow_id,src2dst_min_length,src2dst_max_length,src2dst_stddev_length,src2dst_mean_length,src2dst_min_time,src2dst_max_time,src2dst_mean_time,src2dst_stddev_time,dst2src_min_length,dst2src_max_length,dst2src_stddev_length,dst2src_mean_length,dst2src_min_time,dst2src_max_time,dst2src_mean_time,dst2src_stddev_time,bidirectional_min_length,bidirectional_max_length,bidirectional_stddev_length,bidirectional_mean_length,bidirectional_min_time,bidirectional_max_time,bidirectional_mean_time,bidirectional_stddev_time,label,type,doh_server
"(('176.103.130.130', 443), ('192.168.20.144', 54296))",1,280,39.76151176725054,112.14893617021276,9.799003601074219e-05,181.96329307556152,5.261361915132274,26.350233243535104,19,46327,6510.960448351687,1251.2,7.152557373046875e-06,181.96329307556152,4.9386818408966064,25.283835706364197,1,46327,4709.211595885225,699.2886597938144,7.152557373046875e-06,179.99787497520447,2.521069251000881,18.21424444475725,Malicious,iodine_null-64-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 54298))",1,280,34.96321852040449,106.22916666666667,0.00010204315185546875,180.7102448940277,5.116256551539644,25.89785761562829,19,47115,7921.027486564264,1755.2941176470588,4.76837158203125e-06,180.7102448940277,4.8087202835083005,25.050737491273292,1,47115,5744.71992678852,955.7474747474747,4.76837158203125e-06,179.9989469051361,2.453714876758809,18.03176063336221,Malicious,iodine_null-64-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 54300))",1,280,34.92111646267914,105.875,9.298324584960938e-05,182.15352296829224,5.127338531169485,26.11018250984068,19,34970,4919.568149544141,887.4489795918367,3.886222839355469e-05,182.15352296829224,5.019946267207463,25.54707861878398,1,34970,3518.3988461272224,500.69072164948454,3.886222839355469e-05,179.99850487709045,2.510259489218394,18.214417014575954,Malicious,iodine_null-64-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 54302))",1,280,62.958772691528296,162.2,5.602836608886719e-05,181.13867497444153,2.8664684267271134,19.575165089289133,19,54404,8374.277275510733,2032.9775280898875,1.0967254638671875e-05,181.13867497444153,2.7358656363053755,19.01429392878479,1,54404,6061.910670741546,1119.0919540229886,1.0967254638671875e-05,179.99809098243713,1.3918112592201013,13.624399881137434,Malicious,iodine_null-64-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 54304))",1,280,58.79303539663144,170.5392156862745,4.7206878662109375e-05,181.38779997825623,2.3827593161328005,17.906444335820133,19,3143,386.16095673431215,675.0980392156863,5.9604644775390625e-06,181.38779997825623,2.38248875117538,17.76891388474385,1,3143,374.0766690919128,422.8186274509804,5.9604644775390625e-06,179.99989795684814,1.1855107927557282,12.586880621561152,Malicious,iodine_null-64-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 54306))",1,280,59.46091653507772,155.38938053097345,7.390975952148438e-05,180.98640298843384,2.14708579650947,16.977498666370924,0,42845,3910.0632792102806,1043.0775862068965,3.814697265625e-06,180.98640298843384,2.0908404350280763,16.66832120177211,0,42845,2818.3593592801453,605.0480349344978,3.814697265625e-06,180.00002193450928,1.0547088123204416,11.880812012514921,Malicious,iodine_null-64-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 54308))",1,280,57.98598919923079,182.2872340425532,8.106231689453125e-05,181.31161499023438,2.590867934688445,18.63752500906155,19,27055,3504.4799906988105,1124.875,8.106231689453125e-06,181.31161499023438,2.536038757625379,18.2843687933114,1,27055,2535.564167641424,658.5421052631579,8.106231689453125e-06,179.75524306297302,1.2748715234181238,13.022444590621488,Malicious,iodine_null-64-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 54310))",1,280,58.84201994032493,154.6952380952381,7.104873657226562e-05,181.31211614608765,2.3171237225715933,17.63992689667489,19,65504,7436.874033000148,1634.2201834862385,4.0531158447265625e-06,181.31211614608765,2.231053239769406,17.190405613423344,1,65504,5359.029071293853,908.2850467289719,4.0531158447265625e-06,179.99960708618164,1.1313655734621864,12.288746311754464,Malicious,iodine_null-64-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 54312))",1,280,58.22021922291155,153.21311475409837,4.696846008300781e-05,180.8576900959015,1.9899356522835976,16.33159172510111,19,27667,3137.664591971575,1029.7711864406779,2.002716064453125e-05,180.8576900959015,2.0577354716439533,16.526931968043844,1,27667,2243.699308213354,584.1875,2.002716064453125e-05,180.0022270679474,1.0074569620347922,11.606399212591787,Malicious,iodine_null-64-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 54314))",1,280,59.36873729748628,153.80701754385964,9.202957153320312e-05,181.18533897399902,2.124935645972733,16.923709682429404,19,55466,5079.809078009228,1094.844827586207,7.867813110351562e-06,181.18533897399902,2.0877453658891763,16.668906781441315,1,55466,3638.343268415993,628.4173913043478,7.867813110351562e-06,180.00592613220215,1.048549030545497,11.855845169589454,Malicious,iodine_null-64-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 54316))",1,280,57.11292872592921,154.10280373831776,7.486343383789062e-05,1.2509610652923584,0.562770000043905,0.3440467558844685,66,28949,2765.84721810929,916.2476190476191,4.0531158447265625e-06,1.2509610652923584,0.5796646246543298,0.4476466008065767,1,28949,1983.8650450962339,531.5801886792453,1.9073486328125e-06,1.0013270378112793,0.28583905708168356,0.31636459416626267,Malicious,iodine_null-64-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 54318))",1,280,57.32013303274542,162.5648148148148,4.601478576660156e-05,1.2292430400848389,0.5570467209147516,0.3453827842722606,66,49641,4706.571206546312,1061.5740740740741,2.5033950805664062e-05,1.2292430400848389,0.5653377581979627,0.4138737368625492,1,49641,3358.5120919879573,612.0694444444445,2.5033950805664062e-05,1.001420021057129,0.28147986545119175,0.3371834974688905,Malicious,iodine_null-64-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 54320))",1,280,57.504935408814106,155.89523809523808,5.698204040527344e-05,1.4358289241790771,0.5753504886077001,0.3784317635901788,66,1304,303.47213288810923,693.4056603773585,5.0067901611328125e-06,1.4358289241790771,0.5872862861269996,0.4677854481628175,1,1304,346.6110456963536,425.92417061611377,5.0067901611328125e-06,1.0934951305389404,0.29377115681057886,0.3285666179242262,Malicious,iodine_null-64-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 54322))",1,280,64.90706301527048,152.0,9.608268737792969e-05,1.1106441020965576,0.5039143025875091,0.3798171853299179,66,61390,11285.158256344848,3053.714285714286,5.0067901611328125e-06,1.1106441020965576,0.4909465894466493,0.39960736080865883,1,61390,8157.901567350572,1620.3373493975903,5.0067901611328125e-06,1.0012779235839844,0.24581185492073618,0.2987571072384781,Malicious,iodine_null-64-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 54352))",1,280,38.791601503491805,119.06896551724138,0.0001480579376220703,181.29082489013672,4.233000684202763,23.67356831334246,19,55131,7334.8091721192695,1244.1636363636364,1.3113021850585938e-05,181.29082489013672,4.467647684945001,24.12943989154881,1,55131,5148.0646802076535,666.6814159292036,1.3113021850585938e-05,180.00093722343445,2.1542949910674776,16.889037354591434,Malicious,iodine_null-64-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 54354))",1,280,35.265480886353544,105.51063829787235,7.081031799316406e-05,180.79128098487854,5.23581293873165,26.179307915375325,19,62583,12092.652907696505,2932.6470588235293,2.6941299438476562e-05,180.79128098487854,4.816404137611389,25.042604630185213,1,62583,8837.188552986345,1576.7755102040817,2.6941299438476562e-05,179.99962997436523,2.4829628369242873,18.121946665687638,Malicious,iodine_null-64-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 54356))",1,280,35.2796882867947,105.63829787234043,9.894371032714844e-05,181.18520998954773,5.226469112479168,26.240784500741444,19,40115,6192.253518522232,1376.5102040816328,1.5974044799804688e-05,181.18520998954773,5.00813756386439,25.547988152459936,1,40115,4469.410641871821,754.3125,1.5974044799804688e-05,179.99939513206482,2.530711359726755,18.30884552843095,Malicious,iodine_null-64-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 54358))",1,280,50.455803114551536,138.0843373493976,6.508827209472656e-05,181.54249095916748,2.9383321215466753,19.85262574430907,19,36047,3833.742543173137,1035.0823529411764,2.002716064453125e-05,181.54249095916748,2.868047200498127,19.454756347213255,1,36047,2763.8120672038663,591.922619047619,2.002716064453125e-05,179.99900007247925,1.4427738560887868,13.863903410083388,Malicious,iodine_null-64-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 54360))",1,280,60.62620806388496,151.5049504950495,5.412101745605469e-05,184.21941304206848,2.4366474986076354,18.274418041862237,19,38366,3763.27783835647,1188.3365384615386,4.0531158447265625e-06,184.21941304206848,2.3654110107607056,17.596561669305625,1,38366,2730.4330410046455,677.5073170731707,4.0531158447265625e-06,179.99672102928162,1.1944350483370763,12.55710495094286,Malicious,iodine_null-64-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 54362))",1,280,60.076296072797206,154.42708333333334,7.414817810058594e-05,180.82385396957397,2.5304877055318733,18.393699713328143,19,35582,3523.0059202347043,1162.4747474747476,2.193450927734375e-05,180.82385396957397,2.4527474495829367,18.032720408597598,1,35582,2560.667040295508,666.2051282051282,2.193450927734375e-05,180.0006148815155,1.2391563506470513,12.87306610068709,Malicious,iodine_null-64-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 54364))",1,280,58.011423526022625,149.2941176470588,3.981590270996094e-05,180.8020839691162,2.377596394850476,17.846707940135957,19,39868,3816.5269297296304,1149.847619047619,2.47955322265625e-05,180.8020839691162,2.3087495680038748,17.516515126245185,1,39868,2764.1221530947832,656.8212560386473,2.47955322265625e-05,179.99980401992798,1.1657147372810586,12.495450354376914,Malicious,iodine_null-64-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 54366))",1,280,56.20754004426896,146.97297297297297,4.506111145019531e-05,181.42774105072021,2.1887328017841687,17.172399317319623,19,62473,7195.481376087639,1732.9528301886792,9.059906005859375e-06,181.42774105072021,2.2927017802283878,17.431470813181882,1,62473,5091.277414020297,921.6912442396314,9.059906005859375e-06,179.99871921539307,1.1146324453530487,12.204163547699814,Malicious,iodine_null-64-tunnel,AdGuard
"(('176.103.130.130', 443), ('192.168.20.144', 54368))",1,280,56.54429700484549,147.0990099009901,6.985664367675781e-05,181.46089100837708,2.41342276096344,17.998948681826825,19,63690,8203.686014048808,2104.27,7.152557373046875e-06,181.46089100837708,2.4375259587259004,17.94363612214518,1,63690,5868.733293360864,1120.81592039801,7.152557373046875e-06,180.00150299072266,1.20671138048172,12.679753196451442,Malicious,iodine_null-64-tunnel,AdGuard
