flow_id,src2dst_min_length,src2dst_max_length,src2dst_stddev_length,src2dst_mean_length,src2dst_min_time,src2dst_max_time,src2dst_mean_time,src2dst_stddev_time,dst2src_min_length,dst2src_max_length,dst2src_stddev_length,dst2src_mean_length,dst2src_min_time,dst2src_max_time,dst2src_mean_time,dst2src_stddev_time,bidirectional_min_length,bidirectional_max_length,bidirectional_stddev_length,bidirectional_mean_length,bidirectional_min_time,bidirectional_max_time,bidirectional_mean_time,bidirectional_stddev_time,label,type,doh_server
"(('1.1.1.1', 443), ('192.168.20.211', 48484))",1,256,13.258597519639489,109.6613924050633,6.103515625e-05,2.0134940147399902,1.0291849524018881,0.32878597274628696,26,31792,930.5434300081629,133.17123287671234,1.9073486328125e-06,2.0134940147399902,0.5538947858050427,1.4439312628307173,1,31792,749.711759982165,124.91666666666667,1.9073486328125e-06,2.0021820068359375,0.3609870511203955,0.48488086497927024,Malicious,iodine_srv-64-tunnel,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.211', 48488))",1,256,12.141986279487925,109.02286585365853,0.00011301040649414062,2.002155065536499,0.9911229206405523,0.2698083663586831,26,44081,1262.299171110968,141.8415435139573,1.9073486328125e-06,2.002155065536499,0.5334287528239418,1.3916094051433792,1,44081,1017.8020971365254,130.35325506937033,1.9073486328125e-06,2.002155065536499,0.34660938075055936,0.48021765717688375,Malicious,iodine_srv-64-tunnel,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.211', 48492))",1,256,42.89932185452306,138.9510250569476,3.1948089599609375e-05,2.0023529529571533,0.7379855826887872,0.43514541482051106,0,13357,637.5121455676788,535.2692078618226,9.5367431640625e-07,2.0023529529571533,0.3856951919016878,1.1876241014460804,0,13357,550.3761459537769,399.1849824012515,9.5367431640625e-07,2.0023529529571533,0.2532133630743609,0.43241916507763056,Malicious,iodine_srv-64-tunnel,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.211', 48496))",1,256,12.882853480338355,109.41772151898734,7.700920104980469e-05,2.0680840015411377,1.0263259301283847,0.2960559951042356,26,28722,829.9674858691753,130.68,9.5367431640625e-07,2.0680840015411377,0.540602668908559,1.4190293769737117,1,28722,671.8397133411953,123.34497816593887,9.5367431640625e-07,2.002089023590088,0.35401358648703307,0.48284586260313783,Malicious,iodine_srv-64-tunnel,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.211', 48500))",1,256,12.864533665449853,109.38277511961722,7.915496826171875e-05,2.060106039047241,1.0332050814796179,0.30672739219911216,26,7181,222.1455389700842,112.81387478849408,1.9073486328125e-06,2.060106039047241,0.5478060948051304,1.4477100491198804,1,7181,179.73428292940866,111.62465450525151,1.9073486328125e-06,2.0021419525146484,0.35784027600182894,0.4839005404883889,Malicious,iodine_srv-64-tunnel,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.211', 48504))",1,256,12.930942148430674,109.34169278996865,7.104873657226562e-05,2.011435031890869,1.0178337157053325,0.3102787658788927,26,28454,825.0068965687885,130.73489932885906,9.5367431640625e-07,2.011435031890869,0.5418467085267394,1.4263924705299285,1,28454,665.9622390752406,123.27650273224043,9.5367431640625e-07,2.0021798610687256,0.3544888337366303,0.4828640435654377,Malicious,iodine_srv-64-tunnel,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.211', 48508))",1,256,13.078653846452161,109.43668831168831,8.58306884765625e-05,2.1200811862945557,1.053253232754343,0.2800722345121156,26,17160,501.04213732466013,120.8673383711167,1.9073486328125e-06,2.1200811862945557,0.543472468752821,1.4349663971073006,1,17160,406.87975122455043,116.97066961815163,1.9073486328125e-06,2.0021231174468994,0.3586659679645188,0.48624599628195414,Malicious,iodine_srv-64-tunnel,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.211', 48512))",1,256,12.9209254676587,109.41269841269842,7.390975952148438e-05,2.00688099861145,1.029773554855007,0.2292663014925953,26,61554,1747.011782815847,156.0863599677159,1.9073486328125e-06,2.00688099861145,0.5223818967338525,1.382477409084604,1,61554,1422.6075613217818,140.35366506153022,1.9073486328125e-06,2.0021309852600098,0.34674923233608107,0.4835126197769536,Malicious,iodine_srv-64-tunnel,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.211', 48516))",1,256,12.829446799819952,109.16535433070867,0.00010895729064941406,2.066257953643799,1.0235539321267642,0.28584974952161196,26,34833,1001.4278850762369,135.0818181818182,1.9073486328125e-06,2.066257953643799,0.5350812142106302,1.4270685181767924,1,34833,811.1159232473193,126.16205962059621,1.9073486328125e-06,2.002126932144165,0.35191604824748834,0.4822848451730056,Malicious,iodine_srv-64-tunnel,Cloudflare
"(('1.1.1.1', 443), ('192.168.20.211', 48522))",1,256,41.962948940945004,133.0450563204005,3.886222839355469e-05,2.003736972808838,0.8130125249537609,0.40827108796676054,26,51596,2583.6054067524688,562.064892926671,9.5367431640625e-07,2.003736972808838,0.41802665521572163,1.2392738452671725,1,51596,2106.6090005407127,415.5747863247863,9.5367431640625e-07,2.0021231174468994,0.27737665451607574,0.4478085020073026,Malicious,iodine_srv-64-tunnel,Cloudflare
