flow_id,src2dst_min_length,src2dst_max_length,src2dst_stddev_length,src2dst_mean_length,src2dst_min_time,src2dst_max_time,src2dst_mean_time,src2dst_stddev_time,dst2src_min_length,dst2src_max_length,dst2src_stddev_length,dst2src_mean_length,dst2src_min_time,dst2src_max_time,dst2src_mean_time,dst2src_stddev_time,bidirectional_min_length,bidirectional_max_length,bidirectional_stddev_length,bidirectional_mean_length,bidirectional_min_time,bidirectional_max_time,bidirectional_mean_time,bidirectional_stddev_time,label,type,doh_server
"(('192.168.20.144', 52010), ('8.8.4.4', 443))",1,275,58.82442011159976,83.63800904977376,7.009506225585938e-05,240.00521993637085,1.3643772320313887,16.130360873472803,26,865,102.67239011557777,90.28467153284672,9.5367431640625e-07,240.00521993637085,0.7320130074896464,11.836592874307948,1,865,89.86350418614802,87.96044303797468,9.5367431640625e-07,240.0050790309906,0.4756941221028614,9.546624840555264,Malicious,iodine_srv-32-tunnel,Google
"(('192.168.20.144', 52012), ('8.8.4.4', 443))",1,275,75.47311416036266,107.94685200327065,8.606910705566406e-05,240.00147008895874,0.245599673539644,6.861569136056114,26,615,138.85019627697966,120.10783907092492,9.5367431640625e-07,240.00147008895874,0.12451625641945487,4.88752475725562,1,615,121.41277398273049,116.01513483764447,9.5367431640625e-07,240.0012559890747,0.08261018471385768,3.981162607929921,Malicious,iodine_srv-32-tunnel,Google
"(('192.168.20.144', 52014), ('8.8.4.4', 443))",1,275,75.35320425267962,107.15316045380875,9.107589721679688e-05,240.0617229938507,0.24347885004988745,6.8326191655764585,26,541,138.24070302914842,119.62653562653563,9.5367431640625e-07,240.0617229938507,0.12297072668438903,4.857614823105809,1,541,120.97957258840263,115.43933623503808,9.5367431640625e-07,240.0615348815918,0.08168963866979898,3.959337806746049,Malicious,iodine_srv-32-tunnel,Google
"(('192.168.20.144', 52016), ('8.8.4.4', 443))",1,275,75.48409129071865,107.21310043668122,7.081031799316406e-05,240.09129285812378,0.2624001538420057,7.0941036990179445,26,1197,144.16436249402128,121.38329670329671,9.5367431640625e-07,240.09129285812378,0.13199088074391416,5.033461299876534,1,1197,125.6086058223705,116.63918128654971,9.5367431640625e-07,240.09114384651184,0.08779929101937833,4.1054235061184645,Malicious,iodine_srv-32-tunnel,Google
"(('192.168.20.144', 52018), ('8.8.4.4', 443))",1,275,75.64846856856524,107.79768270944741,7.414817810058594e-05,239.9942491054535,0.2677327404056246,7.163551799643524,26,1296,146.64153402380578,122.4825555052107,9.5367431640625e-07,239.9942491054535,0.13603375159062156,5.108389055398181,1,1296,127.40921715420608,117.53319315109643,9.5367431640625e-07,239.99405217170715,0.09018281309937055,4.159486527856968,Malicious,iodine_srv-32-tunnel,Google
"(('192.168.20.144', 52020), ('8.8.4.4', 443))",1,275,75.40091162886077,107.196749358426,0.00013709068298339844,239.99848294258118,0.25692448040393934,7.018163205230587,26,1197,143.88814897771385,121.51743435213086,9.5367431640625e-07,239.99848294258118,0.12922018176004046,4.979254199521701,1,1197,125.38659892704393,116.7233676975945,9.5367431640625e-07,239.99829387664795,0.08596041051612752,4.061276100485078,Malicious,iodine_srv-32-tunnel,Google
"(('192.168.20.144', 52022), ('8.8.4.4', 443))",1,275,75.23862718414247,107.24270225187657,9.894371032714844e-05,0.41963791847229004,0.05015198993364439,0.04952288384397153,26,874,140.1121635790995,120.24545069826492,9.5367431640625e-07,0.41963791847229004,0.025420852276756035,0.047688146627963335,1,874,122.33788791027139,115.86861313868613,9.5367431640625e-07,0.41963791847229004,0.01687225047472788,0.03676553779359489,Malicious,iodine_srv-32-tunnel,Google
"(('192.168.20.144', 52024), ('8.8.4.4', 443))",1,275,75.49815548826629,107.3274111675127,5.888938903808594e-05,1.1195940971374512,0.0508765859385853,0.059483937063452945,26,1369,142.7396570764204,120.93508697496819,9.5367431640625e-07,1.1195940971374512,0.025486612056835802,0.054350330755691206,1,1369,124.55752724354844,116.39022322690026,9.5367431640625e-07,1.1195940971374512,0.016982828714943256,0.0414300228289232,Malicious,iodine_srv-32-tunnel,Google
"(('192.168.20.144', 52026), ('8.8.4.4', 443))",1,275,75.13146678878391,106.9079391891892,0.00013589859008789062,1.1007580757141113,0.05078326456645537,0.05814875019318318,26,47862,1140.678138014855,152.21025858414583,9.5367431640625e-07,1.1007580757141113,0.025461669692151925,0.05266660705614627,1,47862,932.025936667235,137.07112616426758,9.5367431640625e-07,1.1007580757141113,0.01696120891646434,0.04113198729298829,Malicious,iodine_srv-32-tunnel,Google
"(('192.168.20.144', 52028), ('8.8.4.4', 443))",1,275,75.02836011874017,106.91014975041597,7.796287536621094e-05,0.6109030246734619,0.05004963946282913,0.05084688542310426,26,701,139.72102759499825,120.19966652771988,9.5367431640625e-07,0.6109030246734619,0.025050173509707542,0.04692198724271508,1,701,122.16344013794414,115.76367675645653,9.5367431640625e-07,0.6109030246734619,0.016697115831904943,0.0375060594532147,Malicious,iodine_srv-32-tunnel,Google
"(('192.168.20.144', 52030), ('8.8.4.4', 443))",1,275,74.71229773135951,106.4514435695538,7.486343383789062e-05,2.0571110248565674,0.05056019276119573,0.08387057278070843,26,10200,255.0084218940229,124.3993848857645,9.5367431640625e-07,2.0571110248565674,0.02536271912711007,0.06858188277157683,1,10200,212.66696177360376,118.39923954372624,9.5367431640625e-07,2.0571110248565674,0.016892843807280726,0.053864837293456556,Malicious,iodine_srv-32-tunnel,Google
"(('192.168.20.144', 52054), ('8.8.4.4', 443))",1,275,60.08735732201544,86.23360655737704,0.000102996826171875,240.00504899024963,1.2352859630506225,15.353222761613198,26,1013,109.24325797943554,91.14406779661017,9.5367431640625e-07,240.00504899024963,0.6372327602086806,11.046164586922373,1,1013,95.40949954517731,89.47067039106145,9.5367431640625e-07,240.00484895706177,0.41982446016965214,8.969637702083466,Malicious,iodine_srv-32-tunnel,Google
"(('192.168.20.144', 52056), ('8.8.4.4', 443))",1,275,74.60162840340666,106.03531179564237,7.510185241699219e-05,240.01631498336792,0.225615063825048,6.577780601731592,26,566,137.06078086002094,118.53182674199623,9.5367431640625e-07,240.01631498336792,0.11304805947140634,4.6578281873463405,1,566,120.02458276141242,114.3590065228299,9.5367431640625e-07,240.01616501808167,0.07529938140208628,3.801547441794662,Malicious,iodine_srv-32-tunnel,Google
"(('192.168.20.144', 52058), ('8.8.4.4', 443))",1,275,74.2504499900313,105.73903177004539,5.817413330078125e-05,240.0206470489502,0.22716849216631557,6.600238986324253,26,566,137.3663852109986,118.31295100645652,9.5367431640625e-07,240.0206470489502,0.11400128035922182,4.677323802125266,1,566,120.16735186389913,114.10998735777497,9.5367431640625e-07,240.0204999446869,0.0758951892138854,3.8164830992420287,Malicious,iodine_srv-32-tunnel,Google
"(('192.168.20.144', 52060), ('8.8.4.4', 443))",1,275,73.95296675750784,104.75661375661376,6.794929504394531e-05,240.02115392684937,0.22705658246818,6.597758283858003,26,566,136.3754101615954,117.07142857142857,9.5367431640625e-07,240.02115392684937,0.1140745530695754,4.678225951655595,1,566,119.33196361582243,112.9519595448799,9.5367431640625e-07,240.02100205421448,0.07591522560013504,3.816492079323019,Malicious,iodine_srv-32-tunnel,Google
"(('192.168.20.144', 52062), ('8.8.4.4', 443))",1,275,74.58371733703572,106.00941176470589,8.296966552734375e-05,240.00133991241455,0.23555963248996944,6.720231925287683,26,853,140.07804404567403,119.45951257861635,9.5367431640625e-07,240.00133991241455,0.11799621160134433,4.7580815999050206,1,853,122.3452187091281,114.96910185912543,9.5367431640625e-07,240.00111508369446,0.07860214033321662,3.88354109696944,Malicious,iodine_srv-32-tunnel,Google
"(('192.168.20.144', 52064), ('8.8.4.4', 443))",1,275,74.20590446747026,105.23371647509579,8.702278137207031e-05,239.99955081939697,0.23016316173998125,6.642481972781168,26,569,137.77081932461894,118.31266846361186,9.5367431640625e-07,239.99955081939697,0.11559874149977885,4.709221374311367,1,569,120.46777020944694,113.93849308047156,9.5367431640625e-07,239.99934196472168,0.0769373911584044,3.841971611898898,Malicious,iodine_srv-32-tunnel,Google
"(('192.168.20.144', 52066), ('8.8.4.4', 443))",1,275,74.40050135455677,105.64968152866243,5.2928924560546875e-05,1.1529459953308105,0.04786582468040436,0.05572932537450844,26,844,140.29461194440057,119.51158146964856,9.5367431640625e-07,1.1529459953308105,0.02398447070272265,0.04951737866242666,1,844,122.47275626200235,114.8811170212766,9.5367431640625e-07,1.1529459953308105,0.01598074221173383,0.038741654294947414,Malicious,iodine_srv-32-tunnel,Google
"(('192.168.20.144', 52068), ('8.8.4.4', 443))",1,275,74.60884717928168,105.96845425867508,6.508827209472656e-05,0.5823168754577637,0.047407837297940875,0.048250380246885376,26,758,139.5380819978924,119.18239492466297,9.5367431640625e-07,0.5823168754577637,0.02381099920715429,0.04533640731358539,1,758,121.89269944624131,114.76147757255937,9.5367431640625e-07,0.5823168754577637,0.015852660294666428,0.035466000056770634,Malicious,iodine_srv-32-tunnel,Google
"(('192.168.20.144', 52070), ('8.8.4.4', 443))",1,275,74.68234837205556,106.13561964146531,6.198883056640625e-05,0.7974588871002197,0.04689464200863414,0.0514244850622645,26,1413,141.1674494655294,119.47937131630648,9.5367431640625e-07,0.7974588871002197,0.023616626202685276,0.04597246553586926,1,1413,123.11817008894523,115.00705329153605,9.5367431640625e-07,0.7971138954162598,0.015709153659542452,0.036717402600829355,Malicious,iodine_srv-32-tunnel,Google
"(('192.168.20.144', 52072), ('8.8.4.4', 443))",1,275,74.20985175023674,105.04780876494024,0.00010609626770019531,0.6410551071166992,0.047920456913669716,0.05066293705826383,26,844,141.284217478114,119.66827115924589,9.5367431640625e-07,0.6410551071166992,0.02409833554854171,0.04808006782696787,1,844,123.16226284408492,114.77267876200641,9.5367431640625e-07,0.6410551071166992,0.016037430736520367,0.03687125724229596,Malicious,iodine_srv-32-tunnel,Google
"(('192.168.20.144', 52074), ('8.8.4.4', 443))",1,275,75.07000565830609,107.36589861751152,7.700920104980469e-05,0.5690159797668457,0.052024688228030046,0.053303350198412,26,758,146.39348813853414,122.79477434679335,9.5367431640625e-07,0.5690159797668457,0.026701768088250106,0.0502292174446784,1,758,126.93311057441512,117.54702194357367,9.5367431640625e-07,0.5686230659484863,0.017684152411158536,0.038739782703908154,Malicious,iodine_srv-32-tunnel,Google
"(('192.168.20.144', 52098), ('8.8.4.4', 443))",1,275,58.47934438764729,86.9627659574468,6.580352783203125e-05,240.01249289512634,1.6064094757651264,17.485539868677225,26,1413,150.24504850280218,89.940625,9.5367431640625e-07,240.01249289512634,0.9413375301420875,13.41260096425382,1,1413,124.44777834497116,88.83858267716535,9.5367431640625e-07,240.01230192184448,0.5925021143354607,10.647507472084058,Malicious,iodine_srv-32-tunnel,Google
"(('192.168.20.144', 52100), ('8.8.4.4', 443))",1,275,74.3520135698094,106.40167364016736,0.00010085105895996094,240.16270208358765,0.25147395577262993,6.946277135499059,26,53606,1120.5662028483991,144.95125107851595,9.5367431640625e-07,240.16270208358765,0.129573152761908,4.988430947369492,1,53606,911.4538026678662,131.83803017364076,9.5367431640625e-07,240.16253900527954,0.0854954166265718,4.05193931215321,Malicious,iodine_srv-32-tunnel,Google
"(('192.168.20.144', 52102), ('8.8.4.4', 443))",1,275,74.38868620645563,105.77224736048265,8.702278137207031e-05,240.01215505599976,0.22648755325461334,6.590051980773918,26,691,141.5027629246274,120.64215314632297,9.5367431640625e-07,240.01215505599976,0.11378754075838392,4.672727629072754,1,691,123.3912962239979,115.66801210898083,9.5367431640625e-07,240.01202392578125,0.07572445320776247,3.8120144436271985,Malicious,iodine_srv-32-tunnel,Google
"(('192.168.20.144', 52104), ('8.8.4.4', 443))",1,275,74.74228068414186,106.5214626391097,3.409385681152344e-05,240.05342316627502,0.23881805900931832,6.767022903374866,26,1413,149.21446667656724,122.98999199359487,9.5367431640625e-07,240.05342316627502,0.12020648504477957,4.802799372649554,1,1413,129.3801027762513,117.47417465388712,9.5367431640625e-07,240.05329418182373,0.07994521975358539,3.9168721230184347,Malicious,iodine_srv-32-tunnel,Google
"(('192.168.20.144', 52106), ('8.8.4.4', 443))",1,275,74.91196228245562,106.34271922767498,0.00011396408081054688,240.01824688911438,0.24166114741093486,6.806689028054309,26,902,148.30869746241683,123.48643175374646,9.5367431640625e-07,240.01824688911438,0.1215986340899908,4.8301972956618915,1,902,128.7427579263777,117.74568965517241,9.5367431640625e-07,240.0180859565735,0.08087931691845354,3.939423996346969,Malicious,iodine_srv-32-tunnel,Google
"(('192.168.20.144', 52108), ('8.8.4.4', 443))",1,275,74.72719761907307,105.956,9.608268737792969e-05,239.17984008789062,0.2398527951313077,6.763877393071803,26,1029,146.7788690431922,122.72723609991942,9.5367431640625e-07,239.17984008789062,0.12073271623401573,4.81436191431404,1,1029,127.51890866779816,117.10986066452304,9.5367431640625e-07,239.17961597442627,0.08029379284883498,3.915119184113008,Malicious,iodine_srv-32-tunnel,Google
