flow_id,src2dst_min_length,src2dst_max_length,src2dst_stddev_length,src2dst_mean_length,src2dst_min_time,src2dst_max_time,src2dst_mean_time,src2dst_stddev_time,dst2src_min_length,dst2src_max_length,dst2src_stddev_length,dst2src_mean_length,dst2src_min_time,dst2src_max_time,dst2src_mean_time,dst2src_stddev_time,bidirectional_min_length,bidirectional_max_length,bidirectional_stddev_length,bidirectional_mean_length,bidirectional_min_time,bidirectional_max_time,bidirectional_mean_time,bidirectional_stddev_time,label,type,doh_server
"(('192.168.20.211', 45998), ('9.9.9.11', 443))",1,256,24.802876732248667,179.1825260862794,8.606910705566406e-05,1.3141140937805176,0.09752718113664526,0.04976647732179363,47,40934,509.2329839073974,305.843862111995,3.790855407714844e-05,1.3141140937805176,0.09767669377944399,0.050922089223055,1,40934,365.8916157866385,242.4638403990025,3.790855407714844e-05,1.001659870147705,0.04879779462997916,0.056536741297607336,Malicious,iodine_txt-32-tunnel,Quad9
"(('192.168.20.211', 46004), ('9.9.9.11', 443))",1,256,24.78279297033534,179.23844731977817,7.009506225585938e-05,1.1101679801940918,0.09711730610587861,0.04768009918783358,47,43075,534.5673115268891,373.7206721134577,5.1975250244140625e-05,1.1101679801940918,0.09718954379346097,0.04825700315516613,1,43075,390.6265561170679,276.44209877494416,4.100799560546875e-05,1.001532793045044,0.0485736195047972,0.05564012329433683,Malicious,iodine_txt-32-tunnel,Quad9
"(('192.168.20.211', 46008), ('9.9.9.11', 443))",1,256,25.30956283123061,179.43422936217593,4.792213439941406e-05,1.12015700340271,0.099915352551906,0.058467734619713066,47,31049,552.0383776035102,451.2827509175044,7.152557373046875e-06,1.12015700340271,0.1002316003480431,0.07240758530420473,1,31049,413.4326931528631,315.14194678986775,7.152557373046875e-06,1.0015301704406738,0.05003329133603769,0.06152885771018711,Malicious,iodine_txt-32-tunnel,Quad9
"(('192.168.20.211', 46012), ('9.9.9.11', 443))",1,256,24.657680404385175,179.50096308186195,3.314018249511719e-05,1.1013779640197754,0.1011675434522863,0.06454207622212316,47,29619,485.6258351178864,355.05989373691835,2.6941299438476562e-05,1.1013779640197754,0.10147434282993925,0.10450170017543686,1,29619,354.60657727830574,267.1463708705088,2.6941299438476562e-05,1.0015530586242676,0.050656963678801556,0.06492755414382621,Malicious,iodine_txt-32-tunnel,Quad9
"(('192.168.20.211', 46016), ('9.9.9.11', 443))",1,256,24.537490471567033,180.04304207119742,7.104873657226562e-05,1.1241998672485352,0.10149172618370222,0.05914231496381695,47,28144,373.5021630885664,459.8220958570268,2.193450927734375e-05,1.1241998672485352,0.10190128342532709,0.06330474413875258,1,28144,299.1341115256794,319.6490474260235,2.193450927734375e-05,1.0015089511871338,0.05084460646092882,0.06233189263310712,Malicious,iodine_txt-32-tunnel,Quad9
"(('192.168.20.211', 46020), ('9.9.9.11', 443))",1,256,24.793305500180484,180.03529597974043,6.604194641113281e-05,1.092350959777832,0.09913296451933949,0.052583828035130495,47,54445,887.7211565482833,432.1355555555556,3.218650817871094e-05,1.092350959777832,0.0994134030657773,0.056023927997506474,1,54445,640.0458828669147,305.9056110318592,1.9073486328125e-06,1.0015900135040283,0.04963326756508422,0.05856784972840033,Malicious,iodine_txt-32-tunnel,Quad9
"(('192.168.20.211', 46024), ('9.9.9.11', 443))",1,256,24.74005877203315,179.6656215707791,6.103515625e-05,1.1150150299072266,0.09787449529455837,0.05117391603149269,47,38463,513.0460520192576,411.6495136491999,1.0013580322265625e-05,1.1150150299072266,0.09794862513899073,0.0531157988104207,1,38463,381.20442229198324,295.61209127264175,1.0013580322265625e-05,1.0015349388122559,0.04895259810137181,0.05759434761372387,Malicious,iodine_txt-32-tunnel,Quad9
"(('192.168.20.211', 46028), ('9.9.9.11', 443))",1,256,24.846731432439125,179.521933322699,7.009506225585938e-05,1.0977251529693604,0.0995814264695509,0.05461134487656664,47,33410,430.9839545440308,446.7462018231249,1.3113021850585938e-05,1.0977251529693604,0.09982958895536241,0.056210779555172986,1,33410,333.0407826787262,312.96334451365595,1.3113021850585938e-05,1.0015201568603516,0.049850361880931636,0.05964432394049776,Malicious,iodine_txt-32-tunnel,Quad9
"(('192.168.20.211', 46032), ('9.9.9.11', 443))",1,256,11.684017311216422,108.61073825503355,6.008148193359375e-05,1.7396550178527832,1.0499414351807923,0.20378996210972883,47,432,17.15701161923413,145.23247863247863,2.5987625122070312e-05,1.7396550178527832,1.0675812755545524,0.18376096594562163,1,432,23.45129911740056,126.7510584250635,2.5987625122070312e-05,1.0024068355560303,0.5294196219767554,0.4547457075663469,Malicious,iodine_txt-32-tunnel,Quad9
"(('192.168.20.211', 46036), ('9.9.9.11', 443))",1,256,24.74960506857968,179.38839709136894,5.698204040527344e-05,1.1021900177001953,0.09837283507637355,0.05053006889256674,47,9443,140.04293096878973,388.7512272367379,2.5987625122070312e-05,1.1021900177001953,0.09854153500050354,0.05484728626878174,1,9443,145.12824181365912,283.9787200379717,2.5987625122070312e-05,1.0016069412231445,0.049225330843201166,0.05746912974993176,Malicious,iodine_txt-32-tunnel,Quad9
"(('192.168.20.211', 46040), ('9.9.9.11', 443))",1,256,24.854954294724216,178.713216957606,6.198883056640625e-05,1.0930519104003906,0.09714113047414707,0.04785129291750706,47,30795,383.4158347896552,313.3377008267041,1.4066696166992188e-05,1.0930519104003906,0.09721420982884542,0.04781717957962945,1,30795,279.8484253769383,245.9992203944804,1.4066696166992188e-05,1.001568078994751,0.048585712770283285,0.05584284527097929,Malicious,iodine_txt-32-tunnel,Quad9
"(('192.168.20.211', 46044), ('9.9.9.11', 443))",1,256,24.903963108620022,179.42480252764614,6.794929504394531e-05,1.0936169624328613,0.09830931220353732,0.053188868829278695,47,23478,294.7431407338194,302.798353909465,2.8133392333984375e-05,1.0936169624328613,0.09849343440267355,0.05538666242488511,1,23478,217.9706423652681,241.05305186590766,2.8133392333984375e-05,1.0015578269958496,0.049197409420114475,0.058527453294860025,Malicious,iodine_txt-32-tunnel,Quad9
"(('192.168.20.211', 46048), ('9.9.9.11', 443))",1,256,11.608396068031062,108.42736486486487,6.008148193359375e-05,1.6222598552703857,1.0516221079527828,0.1983016169789258,47,46764,1930.814417134506,224.77835051546393,2.002716064453125e-05,1.6222598552703857,1.0687322083110449,0.1713359647703024,1,46764,1360.7338899711488,166.10732538330495,2.002716064453125e-05,1.00600004196167,0.5299219471312748,0.45392627663899243,Malicious,iodine_txt-32-tunnel,Quad9
"(('192.168.20.211', 46052), ('9.9.9.11', 443))",1,256,24.9091320143985,179.32698567708334,7.486343383789062e-05,1.1138460636138916,0.10129398843975461,0.06300156281299302,47,35233,448.94770642493785,305.80137322216774,1.6927719116210938e-05,1.1138460636138916,0.10173515107134264,0.06893168439707367,1,35233,323.8285640947458,242.42492455754018,1.6927719116210938e-05,1.0015790462493896,0.050754402201094014,0.06420361200132893,Malicious,iodine_txt-32-tunnel,Quad9
"(('192.168.20.211', 46056), ('9.9.9.11', 443))",1,256,25.089374503350836,179.66633906633908,4.482269287109375e-05,1.92000412940979,0.10192415696296592,0.0695095044086035,47,50358,802.3788554810012,427.3514092632273,2.7894973754882812e-05,1.92000412940979,0.10255989975713874,0.09017768976320363,1,50358,580.1323078277479,303.1222477817943,2.7894973754882812e-05,1.92000412940979,0.05111700387001429,0.0674970076894353,Malicious,iodine_txt-32-tunnel,Quad9
"(('192.168.20.211', 46060), ('9.9.9.11', 443))",1,256,25.04323208755998,179.30143777887952,6.318092346191406e-05,1.9199979305267334,0.10351679057129158,0.07446127515506086,47,62009,814.2064374375042,449.2142381902861,5.1021575927734375e-05,1.9199979305267334,0.10418553967936783,0.08739778405118567,1,62009,590.6962484421898,313.821520351488,1.4781951904296875e-05,1.9199979305267334,0.051921454398633236,0.07052292952352038,Malicious,iodine_txt-32-tunnel,Quad9
"(('192.168.20.211', 46064), ('9.9.9.11', 443))",1,256,25.266476683036082,179.55497382198953,6.198883056640625e-05,1.093461036682129,0.09922269819956361,0.05574421221677057,47,38760,492.5278915930222,413.7518677475759,2.7179718017578125e-05,1.093461036682129,0.0994093058787772,0.05999287564489258,1,38760,367.70616843073236,296.54184532316975,2.7179718017578125e-05,1.001573085784912,0.04965468467034463,0.06025326260688815,Malicious,iodine_txt-32-tunnel,Quad9
"(('192.168.20.211', 46068), ('9.9.9.11', 443))",1,256,24.748658973628995,179.76108374384236,3.814697265625e-05,1.1023991107940674,0.10300387304822571,0.06611010102773353,47,35498,457.48518681212505,349.1833996023857,7.152557373046875e-06,1.1023991107940674,0.10391923198052053,0.07780903494282614,1,35498,334.1613120887554,264.09500247402275,7.152557373046875e-06,1.0016260147094727,0.05172705839098114,0.06631094814447464,Malicious,iodine_txt-32-tunnel,Quad9
"(('192.168.20.211', 46072), ('9.9.9.11', 443))",1,256,24.690860729884278,179.53071214274436,5.698204040527344e-05,1.1235849857330322,0.10020000457914284,0.05939231364762011,47,47926,607.5409180634539,439.36526282457254,1.2874603271484375e-05,1.1235849857330322,0.10046712191257794,0.06423227452573585,1,47926,448.874865640034,309.27338129496405,1.2874603271484375e-05,1.0015640258789062,0.05016337990157594,0.06183651136166368,Malicious,iodine_txt-32-tunnel,Quad9
"(('192.168.20.211', 46076), ('9.9.9.11', 443))",1,256,25.266746088355323,178.91837058170867,5.2928924560546875e-05,1.099797010421753,0.10087092454174915,0.0641973066975363,47,48518,616.2676056777464,414.1085086042065,8.106231689453125e-06,1.099797010421753,0.10139729974754304,0.0803938468724726,1,48518,451.157950213542,296.2050854191498,8.106231689453125e-06,1.001579999923706,0.050563715194640306,0.06449013656421462,Malicious,iodine_txt-32-tunnel,Quad9
